size intersection,size union,state,k,mean JI
4,16,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.11842105263157894
57,163,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.23845100965274188
121,299,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.25807384792096305
183,437,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.263990738967953
237,583,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.26808694278301687
295,725,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.26802986023092495
344,876,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.2628007587856431
386,1034,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.25397672858793596
432,1188,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.24808647505773518
477,1343,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.24478075761098408
516,1504,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.23917822562854085
560,1660,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.23642564371958863
602,1818,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.23231685813666061
642,1978,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.2278334885325158
694,2126,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.2265372341936441
734,2286,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.22216349253921117
767,2453,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.21696238173589366
808,2612,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.21587509518985945
846,2774,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.21257629330055827
888,2932,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.2122280230209043
935,3085,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.21071052167596793
987,3233,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.20906809048302458
1034,3386,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.2074612908516472
1079,3541,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.20532205671334616
1128,3692,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.2051351747444984
1175,3845,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.20348933381982262
1208,4012,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.19946088090289912
1260,4160,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.19894188937486765
1298,4322,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.19659879629627638
1330,4490,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.19450626336850554
1364,4656,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.19435304808828105
1405,4815,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.19413218276701097
1441,4979,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.19227496632245322
1467,5153,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.18924171124830239
1509,5311,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.18749872541694615
1545,5475,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.18618973732942493
1576,5644,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.18548484520021422
1627,5793,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.18570656169574318
1657,5963,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.18355161954686672
1693,6127,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.18236218345720698
1722,6298,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.18114836914188817
1761,6459,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.18060771312519544
1787,6633,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.1783468182586154
1819,6801,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.17691214563097502
1849,6971,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.17524425071146177
1882,7138,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.17551916945096
1917,7303,emptyasian_emptyasian_filledblack or african americanwhite_,4610,0.1747801725609078
1950,7470,emptyasian_emptyasian_filledblack or african americanwhite_,4710,0.17421037750377497
1977,7643,emptyasian_emptyasian_filledblack or african americanwhite_,4810,0.17327474586890293
2009,7811,emptyasian_emptyasian_filledblack or african americanwhite_,4910,0.17243270352792886
