size intersection,size union,state,k,mean JI
5,15,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.22875816993464052
78,142,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.427440155335304
139,281,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.41583488643938
194,426,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.40517527712022794
262,558,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.41286845657971005
315,705,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.40792329488810664
374,846,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.40259506225703884
434,986,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.401146886694554
491,1129,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.38954589845969934
547,1273,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.3856466177620345
601,1419,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.38172790915007293
655,1565,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.37308076944035284
718,1702,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.36836330798810063
776,1844,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.367777406042235
828,1992,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.3678090649344912
867,2153,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.3576169536077378
920,2300,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.3587119796914779
976,2444,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.3594122052890473
1037,2583,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.3594557688959307
1085,2735,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.3577957712234407
1135,2885,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.3551774428009616
1187,3033,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.3546115193984049
1235,3185,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.3513241186660887
1279,3341,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.348282802575886
1329,3491,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.34457717071007155
1383,3637,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.3432238032922606
1447,3773,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.3433124296893295
1504,3916,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.3416885281718118
1551,4069,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.3395649273493693
1609,4211,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.3394712500068142
1665,4355,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.33824426470428043
1709,4511,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.33608837990393187
1756,4664,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.3353236046050471
1809,4811,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.3338519998778265
1863,4957,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.33169371972716216
1920,5100,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.32985996304268395
1965,5255,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.32930729743895587
2016,5404,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.32687351188270625
2066,5554,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.3259839633578964
2114,5706,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.3235817493343132
2151,5869,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.3211243069331852
2193,6027,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.31836033186710805
2235,6185,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.31512684880571024
2279,6341,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.3133637817530818
2326,6494,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.3119682458641945
2374,6646,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.3106790443831
2412,6808,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.3084216124303782
2451,6969,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.306940281097557
2489,7131,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.3046506567517316
2538,7282,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.30381232965264104
