size intersection,size union,state,k,mean JI
7,13,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.5018315018315018
74,146,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.43358450802234727
140,280,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.44954534481371206
212,408,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.4505342791338387
285,535,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.46718724556546265
352,668,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.46360759092583015
400,820,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.4450252878184023
458,962,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.43118577888184584
537,1083,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.43040178726624
590,1230,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.4197985762386025
644,1376,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.40599061916734686
703,1517,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.40116746147548676
769,1651,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.40205050545967075
825,1795,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.39593302917539236
895,1925,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.3945341087198895
956,2064,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.39338932503986385
1013,2207,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.38892105881380684
1075,2345,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.3867313474979506
1119,2501,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.38041934390857834
1177,2643,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.38125419908208835
1248,2772,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.38215309203711495
1303,2917,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.3801144007224789
1361,3059,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.3787566748981737
1412,3208,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.3798325958350341
1470,3350,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.37606107283020523
1538,3482,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.37521355757270797
1599,3621,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.37421335909615183
1648,3772,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.3710738841429248
1694,3926,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.3699046278734277
1744,4076,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.3672027582239057
1796,4224,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.3647276079155475
1848,4372,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.36198930389399564
1901,4519,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.36091836647890646
1956,4664,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.3577783528290248
2001,4819,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.3560058587316393
2054,4966,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.3544386094134817
2113,5107,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.3529002893812139
2169,5251,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.35218764911790384
2233,5387,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.35126531333928157
2270,5550,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.3475382206238274
2322,5698,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.34515518721971566
2371,5849,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.34306526272362564
2409,6011,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.34016850613207045
2460,6160,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.33939320304335885
2498,6322,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.33754496794638816
2541,6479,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.3354499569246095
2586,6634,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.33299388019547266
2638,6782,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.3319496942078364
2682,6938,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.3305795664114573
2734,7086,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.33001583722426653
