size intersection,size union,state,k,mean JI
6,14,filledlowerupper_,10,0.42857142857142855
62,158,filledlowerupper_,110,0.3924050632911392
125,295,filledlowerupper_,210,0.423728813559322
198,422,filledlowerupper_,310,0.46919431279620855
257,563,filledlowerupper_,410,0.4564831261101243
314,706,filledlowerupper_,510,0.4447592067988669
369,851,filledlowerupper_,610,0.4336075205640423
420,1000,filledlowerupper_,710,0.42
481,1139,filledlowerupper_,810,0.42230026338893767
545,1275,filledlowerupper_,910,0.42745098039215684
606,1414,filledlowerupper_,1010,0.42857142857142855
663,1557,filledlowerupper_,1110,0.4258188824662813
722,1698,filledlowerupper_,1210,0.425206124852768
763,1857,filledlowerupper_,1310,0.41087775982767905
817,2003,filledlowerupper_,1410,0.40788816774837744
871,2149,filledlowerupper_,1510,0.40530479292694277
919,2301,filledlowerupper_,1610,0.3993915688830943
966,2454,filledlowerupper_,1710,0.39364303178484106
1011,2609,filledlowerupper_,1810,0.3875047911077041
1067,2753,filledlowerupper_,1910,0.38757718852161277
1120,2900,filledlowerupper_,2010,0.38620689655172413
1159,3061,filledlowerupper_,2110,0.37863443319176737
1208,3212,filledlowerupper_,2210,0.37608966376089664
1266,3354,filledlowerupper_,2310,0.3774597495527728
1306,3514,filledlowerupper_,2410,0.3716562322140011
1357,3663,filledlowerupper_,2510,0.37046137046137045
1399,3821,filledlowerupper_,2610,0.36613451975922534
1444,3976,filledlowerupper_,2710,0.3631790744466801
1488,4132,filledlowerupper_,2810,0.3601161665053243
1538,4282,filledlowerupper_,2910,0.3591779542269967
1587,4433,filledlowerupper_,3010,0.3579968418678096
1628,4592,filledlowerupper_,3110,0.35452961672473865
1675,4745,filledlowerupper_,3210,0.3530031612223393
1720,4900,filledlowerupper_,3310,0.3510204081632653
1765,5055,filledlowerupper_,3410,0.34915924826904055
1822,5198,filledlowerupper_,3510,0.3505194305502116
1858,5362,filledlowerupper_,3610,0.3465124953375606
1896,5524,filledlowerupper_,3710,0.3432295438088342
1932,5688,filledlowerupper_,3810,0.339662447257384
1982,5838,filledlowerupper_,3910,0.3394998287084618
2027,5993,filledlowerupper_,4010,0.33822793258801936
2075,6145,filledlowerupper_,4110,0.33767290480065093
2109,6311,filledlowerupper_,4210,0.3341784186341309
2151,6469,filledlowerupper_,4310,0.33250888854537025
2196,6624,filledlowerupper_,4410,0.33152173913043476
2244,6776,filledlowerupper_,4510,0.33116883116883117
2293,6927,filledlowerupper_,4610,0.3310235311101487
2338,7082,filledlowerupper_,4710,0.33013273086698675
2386,7234,filledlowerupper_,4810,0.3298313519491291
2424,7396,filledlowerupper_,4910,0.32774472687939427
