size intersection,size union,state,k,mean JI
5,15,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.1111111111111111
68,152,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.22321577609303977
123,297,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.24820054218237994
184,436,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.26064477572796657
244,576,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.2550755503164239
309,711,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.25853786260154976
361,859,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.2524914905963633
430,990,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.2547203794902215
490,1130,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.2520712459182595
554,1266,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.2535231004513477
598,1422,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.2461349081234713
661,1559,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.24613746356697744
714,1706,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.24556139676387745
761,1859,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.24118169129865794
807,2013,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.23782958431034684
855,2165,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.2345338283610868
905,2315,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.23106357363029492
955,2465,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.22867643404059845
1017,2603,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.229774741696762
1068,2752,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.2279685281563821
1116,2904,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.22534571235745857
1158,3062,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.2225917793112797
1207,3213,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.22178730045366843
1259,3361,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.2208998710017839
1310,3510,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.21960373902518474
1368,3652,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.2181596498371923
1426,3794,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.2199082040749707
1476,3944,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.21867008128362211
1527,4093,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.21871975944608893
1572,4248,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.21648342933414896
1620,4400,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.21506665542066702
1651,4569,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.21122795008178022
1693,4727,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.20909722942376519
1731,4889,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.20713568734766863
1769,5051,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.20502995662981757
1812,5208,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.20378868156076516
1856,5364,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.20264931481696022
1894,5526,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.201535785595459
1944,5676,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.20042434875604986
1982,5838,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.1982397883714632
2027,5993,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.19743593197355147
2074,6146,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.19711934794308997
2119,6301,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.19648570670791435
2164,6456,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.19592385335149495
2204,6616,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.19602182025565837
2240,6780,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.1961811355750485
2276,6944,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.19527584796334416
2314,7106,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.19439876824486477
2354,7266,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.19301657199287248
2404,7416,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.1923745589662217
