size intersection,size union,state,k,mean JI
0,20,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.0
5,215,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.015503875968992248
14,406,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.023839931885908897
22,598,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.021093121294676147
33,741,emptyblack or african american_filledasianwhite_emptyblack or african american_,410,0.022326101076593264
33,841,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,510,0.01932316342098067
35,939,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,610,0.01807960755303819
36,1038,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,710,0.017020463756561025
39,1135,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,810,0.016480199519847097
41,1233,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,910,0.01574093952260547
42,1332,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1010,0.014848410053889505
43,1431,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1110,0.01407613467361895
44,1530,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1210,0.013401317689056882
45,1629,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1310,0.012998135346028894
45,1729,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1410,0.012443026918127478
47,1827,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1510,0.012150154149379255
48,1926,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1610,0.011708733337571789
48,2026,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1710,0.011141078857155406
48,2126,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1810,0.010775020968873813
48,2226,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1910,0.010441883772120504
49,2325,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2010,0.01014669655470328
49,2425,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2110,0.009866510648886018
50,2524,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2210,0.00961645789871098
50,2624,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2310,0.009255437268528765
51,2723,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2410,0.00904521578844802
53,2821,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2510,0.009083588276372255
53,2921,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2610,0.008776818888072066
54,3020,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2710,0.008602412438180747
55,3119,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2810,0.008438902960022107
58,3216,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2910,0.008496204131400243
58,3316,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3010,0.008242979300119743
59,3415,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3110,0.008198159997043994
59,3515,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3210,0.007967547993770132
59,3615,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3310,0.007749558767002074
59,3715,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3410,0.007543183272850146
60,3814,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3510,0.007436266181822748
60,3914,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3610,0.00724819577827645
61,4013,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3710,0.007153710869883968
61,4113,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3810,0.006981451783190394
61,4213,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3910,0.006817295283159286
63,4311,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4010,0.006817513030631067
63,4411,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4110,0.006664332055006478
64,4510,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4210,0.006592826727751481
65,4609,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4310,0.006524357197992791
66,4708,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4410,0.006527802389996225
66,4808,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4510,0.006393154650703325
66,4908,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4610,0.006263950271697572
66,5008,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4710,0.0061398656559442785
66,5108,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4810,0.006020602361422818
66,5208,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4910,0.005905884703078397
