size intersection,size union,state,k,mean JI
5,15,filledlowerupper_,10,0.3333333333333333
35,185,filledlowerupper_,110,0.1891891891891892
68,352,filledlowerupper_,210,0.19318181818181818
97,523,filledlowerupper_,310,0.18546845124282982
123,697,filledlowerupper_,410,0.17647058823529413
140,880,filledlowerupper_,510,0.1590909090909091
175,1045,filledlowerupper_,610,0.1674641148325359
196,1224,filledlowerupper_,710,0.16013071895424835
214,1406,filledlowerupper_,810,0.15220483641536273
235,1585,filledlowerupper_,910,0.14826498422712933
257,1763,filledlowerupper_,1010,0.14577424844015882
279,1941,filledlowerupper_,1110,0.1437403400309119
295,2125,filledlowerupper_,1210,0.1388235294117647
315,2305,filledlowerupper_,1310,0.13665943600867678
329,2491,filledlowerupper_,1410,0.1320754716981132
349,2671,filledlowerupper_,1510,0.1306626731561213
363,2857,filledlowerupper_,1610,0.12705635281764088
380,3040,filledlowerupper_,1710,0.125
389,3231,filledlowerupper_,1810,0.12039616217889199
400,3420,filledlowerupper_,1910,0.11695906432748537
428,3592,filledlowerupper_,2010,0.11915367483296214
445,3775,filledlowerupper_,2110,0.11788079470198676
450,3970,filledlowerupper_,2210,0.11335012594458438
465,4155,filledlowerupper_,2310,0.11191335740072202
482,4338,filledlowerupper_,2410,0.1111111111111111
493,4527,filledlowerupper_,2510,0.1089021426993594
500,4720,filledlowerupper_,2610,0.1059322033898305
516,4904,filledlowerupper_,2710,0.10522022838499184
529,5091,filledlowerupper_,2810,0.1039088587703791
539,5281,filledlowerupper_,2910,0.10206400302972922
553,5467,filledlowerupper_,3010,0.10115236875800256
559,5661,filledlowerupper_,3110,0.09874580462815757
570,5850,filledlowerupper_,3210,0.09743589743589744
584,6036,filledlowerupper_,3310,0.09675281643472498
593,6227,filledlowerupper_,3410,0.09523044804881965
616,6404,filledlowerupper_,3510,0.09618988132417239
626,6594,filledlowerupper_,3610,0.09493478920230512
639,6781,filledlowerupper_,3710,0.09423388880696063
651,6969,filledlowerupper_,3810,0.09341368919500646
661,7159,filledlowerupper_,3910,0.09233133119150719
675,7345,filledlowerupper_,4010,0.09189925119128659
688,7532,filledlowerupper_,4110,0.09134360063728093
705,7715,filledlowerupper_,4210,0.09138042773817238
718,7902,filledlowerupper_,4310,0.09086307263983802
722,8098,filledlowerupper_,4410,0.08915781674487527
734,8286,filledlowerupper_,4510,0.08858315230509292
739,8481,filledlowerupper_,4610,0.08713595094918052
754,8666,filledlowerupper_,4710,0.08700669282252481
769,8851,filledlowerupper_,4810,0.08688283809739013
778,9042,filledlowerupper_,4910,0.0860429108604291
