size intersection,size union,state,k,mean JI
0,20,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.0
6,214,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.01395408932339894
17,403,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.01807727186662282
24,596,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.01722923532266953
30,790,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.01552825654838827
43,977,emptyasian_emptyasian_filledblack or african americanwhite_,510,0.017066380271220972
45,1124,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,610,0.01551775935461496
49,1220,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,710,0.015375485240316138
52,1317,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,810,0.01525601421816307
55,1414,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,910,0.015152171193795763
56,1513,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1010,0.014375562755634742
59,1610,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1110,0.014123717857537972
66,1703,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1210,0.01491319281553223
70,1799,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1310,0.014852344407411233
72,1897,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1410,0.014433133565511421
73,1996,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1510,0.013882237669995835
75,2094,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1610,0.013548401378567998
79,2190,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1710,0.013559743877191175
80,2289,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1810,0.013412811048272655
81,2388,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,1910,0.01299500881359096
81,2488,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2010,0.01247217913705511
81,2588,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2110,0.011989792695333677
83,2686,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2210,0.01179901130814335
83,2786,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2310,0.011375170232838856
83,2886,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2410,0.010980723598360406
85,2984,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2510,0.010842339865232364
86,3083,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2610,0.010601658661257084
89,3180,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2710,0.010591368293339632
89,3280,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2810,0.010268331231798093
90,3379,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,2910,0.0100656623140974
92,3477,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3010,0.009972933916324046
93,3576,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3110,0.009789665921372395
97,3672,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3210,0.009895589318977644
97,3772,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3310,0.009633223012124454
98,3871,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3410,0.009559121909075438
99,3970,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3510,0.00940441246174264
99,4070,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3610,0.009173332624660059
100,4169,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3710,0.009035189813857791
101,4268,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3810,0.008903467666354265
101,4368,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,3910,0.0086996336996337
101,4468,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4010,0.008504923903312443
101,4568,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4110,0.008318739054290718
101,4668,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4210,0.008140531276778063
102,4767,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4310,0.008041205054886574
102,4867,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4410,0.00787598996635624
103,4966,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4510,0.007785928749203656
104,5065,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4610,0.007699394844137499
105,5164,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4710,0.0076161850039049425
107,5262,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4810,0.007600734424291644
107,5362,emptyasian_emptyblack or african american_emptyasian_emptyblack or african american_,4910,0.0074589997170573285
