size intersection,size union,state,k,mean JI
4,16,filledfemalemale_,10,0.25
54,166,filledfemalemale_,110,0.3253012048192771
113,307,filledfemalemale_,210,0.36807817589576547
174,446,filledfemalemale_,310,0.3901345291479821
232,588,filledfemalemale_,410,0.3945578231292517
279,741,filledfemalemale_,510,0.3765182186234818
329,891,filledfemalemale_,610,0.36924803591470257
379,1041,filledfemalemale_,710,0.36407300672430354
435,1185,filledfemalemale_,810,0.3670886075949367
479,1341,filledfemalemale_,910,0.35719612229679343
528,1492,filledfemalemale_,1010,0.353887399463807
555,1665,filledfemalemale_,1110,0.3333333333333333
599,1821,filledfemalemale_,1210,0.32894014277869305
634,1986,filledfemalemale_,1310,0.3192346424974824
685,2135,filledfemalemale_,1410,0.32084309133489464
722,2298,filledfemalemale_,1510,0.31418624891209745
760,2460,filledfemalemale_,1610,0.3089430894308943
801,2619,filledfemalemale_,1710,0.30584192439862545
836,2784,filledfemalemale_,1810,0.30028735632183906
876,2944,filledfemalemale_,1910,0.297554347826087
905,3115,filledfemalemale_,2010,0.29052969502407705
936,3284,filledfemalemale_,2110,0.2850182704019488
964,3456,filledfemalemale_,2210,0.2789351851851852
1000,3620,filledfemalemale_,2310,0.27624309392265195
1038,3782,filledfemalemale_,2410,0.2744579587519831
1077,3943,filledfemalemale_,2510,0.27314227745371544
1111,4109,filledfemalemale_,2610,0.27038208809929426
1146,4274,filledfemalemale_,2710,0.26813289658399625
1173,4447,filledfemalemale_,2810,0.26377333033505734
1211,4609,filledfemalemale_,2910,0.2627467997396398
1239,4781,filledfemalemale_,3010,0.2591508052708638
1269,4951,filledfemalemale_,3110,0.25631185619066854
1302,5118,filledfemalemale_,3210,0.2543962485345838
1333,5287,filledfemalemale_,3310,0.2521278607906185
1362,5458,filledfemalemale_,3410,0.24954195676071822
1392,5628,filledfemalemale_,3510,0.24733475479744135
1428,5792,filledfemalemale_,3610,0.24654696132596685
1460,5960,filledfemalemale_,3710,0.24496644295302014
1495,6125,filledfemalemale_,3810,0.24408163265306124
1519,6301,filledfemalemale_,3910,0.24107284558006667
1550,6470,filledfemalemale_,4010,0.23956723338485317
1566,6654,filledfemalemale_,4110,0.23534715960324618
1600,6820,filledfemalemale_,4210,0.23460410557184752
1625,6995,filledfemalemale_,4310,0.23230879199428162
1649,7171,filledfemalemale_,4410,0.22995398131362432
1681,7339,filledfemalemale_,4510,0.22905027932960895
1705,7515,filledfemalemale_,4610,0.2268795741849634
1749,7671,filledfemalemale_,4710,0.22800156433320298
1784,7836,filledfemalemale_,4810,0.2276671771311894
1834,7986,filledfemalemale_,4910,0.2296518908089156
