size intersection,size union,state,k,mean JI
1,19,filledblack or african americanwhite_,10,0.05263157894736842
19,201,filledblack or african americanwhite_,110,0.0945273631840796
42,378,filledblack or african americanwhite_,210,0.1111111111111111
75,545,filledblack or african americanwhite_,310,0.13761467889908258
108,712,filledblack or african americanwhite_,410,0.15168539325842698
135,885,filledblack or african americanwhite_,510,0.15254237288135594
166,1054,filledblack or african americanwhite_,610,0.15749525616698293
184,1236,filledblack or african americanwhite_,710,0.1488673139158576
216,1404,filledblack or african americanwhite_,810,0.15384615384615385
234,1586,filledblack or african americanwhite_,910,0.14754098360655737
258,1762,filledblack or african americanwhite_,1010,0.14642451759364358
280,1940,filledblack or african americanwhite_,1110,0.14432989690721648
308,2112,filledblack or african americanwhite_,1210,0.14583333333333334
327,2293,filledblack or african americanwhite_,1310,0.14260793720017445
349,2471,filledblack or african americanwhite_,1410,0.14123836503439902
371,2649,filledblack or african americanwhite_,1510,0.14005285013212532
391,2829,filledblack or african americanwhite_,1610,0.13821138211382114
412,3008,filledblack or african americanwhite_,1710,0.13696808510638298
434,3186,filledblack or african americanwhite_,1810,0.1362209667294413
451,3369,filledblack or african americanwhite_,1910,0.13386761650341347
469,3551,filledblack or african americanwhite_,2010,0.1320754716981132
483,3737,filledblack or african americanwhite_,2110,0.12924805994112926
500,3920,filledblack or african americanwhite_,2210,0.12755102040816327
517,4103,filledblack or african americanwhite_,2310,0.1260053619302949
530,4290,filledblack or african americanwhite_,2410,0.12354312354312354
547,4473,filledblack or african americanwhite_,2510,0.1222892913033758
561,4659,filledblack or african americanwhite_,2610,0.12041210560206053
576,4844,filledblack or african americanwhite_,2710,0.11890999174236168
592,5028,filledblack or african americanwhite_,2810,0.1177406523468576
609,5211,filledblack or african americanwhite_,2910,0.11686816350028785
617,5403,filledblack or african americanwhite_,3010,0.11419581713862668
627,5593,filledblack or african americanwhite_,3110,0.11210441623457894
644,5776,filledblack or african americanwhite_,3210,0.11149584487534626
666,5954,filledblack or african americanwhite_,3310,0.11185757473967081
683,6137,filledblack or african americanwhite_,3410,0.1112921622942806
690,6330,filledblack or african americanwhite_,3510,0.10900473933649289
700,6520,filledblack or african americanwhite_,3610,0.10736196319018405
711,6709,filledblack or african americanwhite_,3710,0.10597704575942764
717,6903,filledblack or african americanwhite_,3810,0.10386788352890047
735,7085,filledblack or african americanwhite_,3910,0.10374029640084687
752,7268,filledblack or african americanwhite_,4010,0.10346725371491469
767,7453,filledblack or african americanwhite_,4110,0.10291157922984033
775,7645,filledblack or african americanwhite_,4210,0.1013734466971877
790,7830,filledblack or african americanwhite_,4310,0.10089399744572158
800,8020,filledblack or african americanwhite_,4410,0.09975062344139651
817,8203,filledblack or african americanwhite_,4510,0.09959770815555284
829,8391,filledblack or african americanwhite_,4610,0.09879632940054821
839,8581,filledblack or african americanwhite_,4710,0.09777415219671368
845,8775,filledblack or african americanwhite_,4810,0.0962962962962963
853,8967,filledblack or african americanwhite_,4910,0.09512657522025203
