size intersection,size union,state,k,mean JI
5,15,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.1851851851851852
47,173,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.19211733900615235
97,323,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.18236199039498632
145,475,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.18662523060712202
189,631,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.18576970444395177
232,788,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.18289825243696675
262,958,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.17042873006801873
306,1114,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.168017129234059
356,1264,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.17131199906979774
390,1430,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.16663609535752832
425,1595,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.16436951733609037
466,1754,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.16435652217007093
504,1916,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.16197469394421726
542,2078,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.16122977683892115
585,2235,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.16193608649058777
630,2390,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.16222496087953064
673,2547,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.16383289594501882
707,2713,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.16155227820889315
740,2880,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.159961457373617
774,3046,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.15857802344672398
803,3217,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.15667863413201003
850,3370,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.15729014417948778
883,3537,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.15683559920826848
915,3705,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.1558721467063261
938,3882,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.15411253407844705
967,4053,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.15336889499197134
995,4225,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.15368903812186993
1015,4405,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.152482776776056
1040,4580,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.1502816124458983
1076,4744,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.14960846099306246
1110,4910,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.14922623128868137
1140,5080,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.14815045357158071
1162,5258,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.1464601657446065
1188,5432,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.14530119813838072
1221,5599,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.14477984792523976
1252,5768,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.1442066450359847
1287,5933,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.1445620814670898
1320,6100,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.14415915726579623
1350,6270,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.14347601086984538
1376,6444,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.14315292012498945
1402,6618,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.14233721722209222
1423,6797,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.14111721722931855
1447,6973,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.14081211338280805
1476,7144,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.14042252436260494
1502,7318,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.1394245851117609
1532,7488,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.1390032984525674
1558,7662,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.13861164237449816
1578,7842,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.13706577169977152
1611,8009,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.13649131082885232
1631,8189,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.13551164124265866
