size intersection,size union,state,k,mean JI
2,18,filledblack or african americanwhite_,10,0.1111111111111111
21,199,filledblack or african americanwhite_,110,0.10552763819095477
62,358,filledblack or african americanwhite_,210,0.17318435754189945
94,526,filledblack or african americanwhite_,310,0.17870722433460076
120,700,filledblack or african americanwhite_,410,0.17142857142857143
148,872,filledblack or african americanwhite_,510,0.16972477064220184
182,1038,filledblack or african americanwhite_,610,0.17533718689788053
213,1207,filledblack or african americanwhite_,710,0.17647058823529413
251,1369,filledblack or african americanwhite_,810,0.183345507669832
280,1540,filledblack or african americanwhite_,910,0.18181818181818182
308,1712,filledblack or african americanwhite_,1010,0.17990654205607476
339,1881,filledblack or african americanwhite_,1110,0.18022328548644337
365,2055,filledblack or african americanwhite_,1210,0.17761557177615572
383,2237,filledblack or african americanwhite_,1310,0.17121144389807777
411,2409,filledblack or african americanwhite_,1410,0.1706102117061021
435,2585,filledblack or african americanwhite_,1510,0.16827852998065765
463,2757,filledblack or african americanwhite_,1610,0.16793616249546608
480,2940,filledblack or african americanwhite_,1710,0.16326530612244897
505,3115,filledblack or african americanwhite_,1810,0.16211878009630817
526,3294,filledblack or african americanwhite_,1910,0.1596842744383728
540,3480,filledblack or african americanwhite_,2010,0.15517241379310345
560,3660,filledblack or african americanwhite_,2110,0.15300546448087432
583,3837,filledblack or african americanwhite_,2210,0.15194162105811831
601,4019,filledblack or african americanwhite_,2310,0.1495396864891764
618,4202,filledblack or african americanwhite_,2410,0.14707282246549264
631,4389,filledblack or african americanwhite_,2510,0.14376851218956482
640,4580,filledblack or african americanwhite_,2610,0.13973799126637554
663,4757,filledblack or african americanwhite_,2710,0.13937355476140426
676,4944,filledblack or african americanwhite_,2810,0.13673139158576053
696,5124,filledblack or african americanwhite_,2910,0.1358313817330211
710,5310,filledblack or african americanwhite_,3010,0.1337099811676083
729,5491,filledblack or african americanwhite_,3110,0.1327627026042615
746,5674,filledblack or african americanwhite_,3210,0.13147691223123018
760,5860,filledblack or african americanwhite_,3310,0.1296928327645051
769,6051,filledblack or african americanwhite_,3410,0.12708643199471162
783,6237,filledblack or african americanwhite_,3510,0.12554112554112554
800,6420,filledblack or african americanwhite_,3610,0.12461059190031153
814,6606,filledblack or african americanwhite_,3710,0.12322131395700878
822,6798,filledblack or african americanwhite_,3810,0.1209179170344219
836,6984,filledblack or african americanwhite_,3910,0.11970217640320734
845,7175,filledblack or african americanwhite_,4010,0.11777003484320557
857,7363,filledblack or african americanwhite_,4110,0.11639277468423197
875,7545,filledblack or african americanwhite_,4210,0.11597084161696487
889,7731,filledblack or african americanwhite_,4310,0.11499159229077739
895,7925,filledblack or african americanwhite_,4410,0.11293375394321767
908,8112,filledblack or african americanwhite_,4510,0.11193293885601578
921,8299,filledblack or african americanwhite_,4610,0.11097722617182793
933,8487,filledblack or african americanwhite_,4710,0.10993283845881938
953,8667,filledblack or african americanwhite_,4810,0.10995730933425638
976,8844,filledblack or african americanwhite_,4910,0.11035730438715513
