size intersection,size union,state,k,mean JI
5,15,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.1111111111111111
49,171,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.21318605749483907
110,310,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.24823926101966462
155,465,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.23253165047790766
201,619,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.2270535792064811
239,781,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.22517084140340335
289,931,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.22040006234488563
330,1090,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.21374338176695548
372,1248,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.2071858471513357
417,1403,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.20400569447268005
467,1553,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.20375850413145347
512,1708,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.2038892229375905
549,1871,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.203076234386807
596,2024,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.20163898796140303
647,2173,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.20230192044501907
679,2341,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.1977457101725931
710,2510,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.19294196621181695
751,2669,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.18980894141270954
786,2834,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.1885407175765661
822,2998,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.18606972689824197
861,3159,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.1846917110666372
888,3332,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.18018054562316102
922,3498,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.17753037189365792
955,3665,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.1746339479577043
998,3822,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.17467953705461967
1022,3998,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.17179122499814184
1053,4167,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.1705708498050904
1100,4320,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.17059586005818558
1135,4485,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.17003132608747942
1172,4648,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.16895852393294156
1201,4819,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.16691564018169636
1240,4980,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.16713288687131497
1267,5153,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.16637052110062392
1296,5324,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.16504710975454429
1331,5489,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.16431749139203647
1356,5664,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.16242068273855592
1390,5830,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.16103615886793496
1423,5997,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.160113709360717
1447,6173,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.158860185141788
1470,6350,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.15766357444108695
1511,6509,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.15724717599537066
1541,6679,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.15571923949152477
1560,6860,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.15390663824621356
1594,7026,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.15368309355975543
1624,7196,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.15300632124489863
1652,7368,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.15312663100211485
1688,7532,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.15232147289025547
1714,7706,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.15124303162282404
1747,7873,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.15078888511407784
1770,8050,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.1501014792691566
