size intersection,size union,state,k,mean JI
2,18,filledfemalemale_,10,0.1111111111111111
48,172,filledfemalemale_,110,0.27906976744186046
111,309,filledfemalemale_,210,0.3592233009708738
165,455,filledfemalemale_,310,0.3626373626373626
217,603,filledfemalemale_,410,0.3598673300165838
287,733,filledfemalemale_,510,0.39154160982264663
322,898,filledfemalemale_,610,0.3585746102449889
372,1048,filledfemalemale_,710,0.3549618320610687
424,1196,filledfemalemale_,810,0.35451505016722407
476,1344,filledfemalemale_,910,0.3541666666666667
515,1505,filledfemalemale_,1010,0.34219269102990035
557,1663,filledfemalemale_,1110,0.3349368610944077
591,1829,filledfemalemale_,1210,0.3231273920174959
635,1985,filledfemalemale_,1310,0.3198992443324937
678,2142,filledfemalemale_,1410,0.3165266106442577
717,2303,filledfemalemale_,1510,0.3113330438558402
761,2459,filledfemalemale_,1610,0.30947539650264333
794,2626,filledfemalemale_,1710,0.30236100533130233
830,2790,filledfemalemale_,1810,0.2974910394265233
872,2948,filledfemalemale_,1910,0.29579375848032563
906,3114,filledfemalemale_,2010,0.2909441233140655
946,3274,filledfemalemale_,2110,0.2889431887599267
985,3435,filledfemalemale_,2210,0.2867540029112082
1018,3602,filledfemalemale_,2310,0.28262076624097726
1047,3773,filledfemalemale_,2410,0.27749801219188974
1077,3943,filledfemalemale_,2510,0.27314227745371544
1116,4104,filledfemalemale_,2610,0.2719298245614035
1144,4276,filledfemalemale_,2710,0.2675397567820393
1172,4448,filledfemalemale_,2810,0.26348920863309355
1218,4602,filledfemalemale_,2910,0.2646675358539765
1255,4765,filledfemalemale_,3010,0.2633788037775446
1288,4932,filledfemalemale_,3110,0.2611516626115166
1320,5100,filledfemalemale_,3210,0.25882352941176473
1348,5272,filledfemalemale_,3310,0.255690440060698
1389,5431,filledfemalemale_,3410,0.25575400478733196
1411,5609,filledfemalemale_,3510,0.25155999286860403
1440,5780,filledfemalemale_,3610,0.2491349480968858
1478,5942,filledfemalemale_,3710,0.24873779872096938
1508,6112,filledfemalemale_,3810,0.24672774869109948
1550,6270,filledfemalemale_,3910,0.24720893141945774
1589,6431,filledfemalemale_,4010,0.24708443476908723
1621,6599,filledfemalemale_,4110,0.2456432792847401
1659,6761,filledfemalemale_,4210,0.24537790267711876
1685,6935,filledfemalemale_,4310,0.24297043979812544
1720,7100,filledfemalemale_,4410,0.24225352112676057
1755,7265,filledfemalemale_,4510,0.2415691672401927
1787,7433,filledfemalemale_,4610,0.24041436835732544
1819,7601,filledfemalemale_,4710,0.23931061702407577
1845,7775,filledfemalemale_,4810,0.23729903536977492
1879,7941,filledfemalemale_,4910,0.23662007303866012
