size intersection,size union,state,k,mean JI
2,18,filledlowerupper_,10,0.1111111111111111
42,178,filledlowerupper_,110,0.23595505617977527
85,335,filledlowerupper_,210,0.2537313432835821
126,494,filledlowerupper_,310,0.2550607287449393
166,654,filledlowerupper_,410,0.25382262996941896
206,814,filledlowerupper_,510,0.25307125307125306
244,976,filledlowerupper_,610,0.25
275,1145,filledlowerupper_,710,0.24017467248908297
306,1314,filledlowerupper_,810,0.2328767123287671
338,1482,filledlowerupper_,910,0.22807017543859648
369,1651,filledlowerupper_,1010,0.22350090854027863
391,1829,filledlowerupper_,1110,0.21377802077638053
424,1996,filledlowerupper_,1210,0.2124248496993988
458,2162,filledlowerupper_,1310,0.211840888066605
486,2334,filledlowerupper_,1410,0.20822622107969152
519,2501,filledlowerupper_,1510,0.2075169932027189
539,2681,filledlowerupper_,1610,0.2010443864229765
565,2855,filledlowerupper_,1710,0.1978984238178634
596,3024,filledlowerupper_,1810,0.1970899470899471
627,3193,filledlowerupper_,1910,0.1963670529282806
655,3365,filledlowerupper_,2010,0.19465081723625557
684,3536,filledlowerupper_,2110,0.19343891402714933
702,3718,filledlowerupper_,2210,0.1888111888111888
727,3893,filledlowerupper_,2310,0.18674544053429232
752,4068,filledlowerupper_,2410,0.1848574237954769
774,4246,filledlowerupper_,2510,0.18228921337729628
793,4427,filledlowerupper_,2610,0.1791280777049921
807,4613,filledlowerupper_,2710,0.17494038586603078
827,4793,filledlowerupper_,2810,0.1725432923012727
856,4964,filledlowerupper_,2910,0.1724415793714746
877,5143,filledlowerupper_,3010,0.17052304102663815
899,5321,filledlowerupper_,3110,0.16895320428490884
917,5503,filledlowerupper_,3210,0.16663638015627838
944,5676,filledlowerupper_,3310,0.16631430584918958
961,5859,filledlowerupper_,3410,0.164021164021164
984,6036,filledlowerupper_,3510,0.16302186878727634
1004,6216,filledlowerupper_,3610,0.1615186615186615
1030,6390,filledlowerupper_,3710,0.16118935837245696
1054,6566,filledlowerupper_,3810,0.1605239110569601
1075,6745,filledlowerupper_,3910,0.15937731653076354
1095,6925,filledlowerupper_,4010,0.15812274368231047
1115,7105,filledlowerupper_,4110,0.1569317382125264
1141,7279,filledlowerupper_,4210,0.15675230114026653
1161,7459,filledlowerupper_,4310,0.15565089154042097
1178,7642,filledlowerupper_,4410,0.15414812876210415
1193,7827,filledlowerupper_,4510,0.15242110642647247
1213,8007,filledlowerupper_,4610,0.15149244411140253
1237,8183,filledlowerupper_,4710,0.15116705364780642
1260,8360,filledlowerupper_,4810,0.1507177033492823
1288,8532,filledlowerupper_,4910,0.15096108766994842
