size intersection,size union,state,k,mean JI
2,18,filledfemalemale_,10,0.1111111111111111
16,204,filledfemalemale_,110,0.0784313725490196
28,392,filledfemalemale_,210,0.07142857142857142
45,575,filledfemalemale_,310,0.0782608695652174
62,758,filledfemalemale_,410,0.08179419525065963
83,937,filledfemalemale_,510,0.08858057630736393
99,1121,filledfemalemale_,610,0.08831400535236396
118,1302,filledfemalemale_,710,0.09062980030721966
128,1492,filledfemalemale_,810,0.08579088471849866
144,1676,filledfemalemale_,910,0.08591885441527446
165,1855,filledfemalemale_,1010,0.0889487870619946
179,2041,filledfemalemale_,1110,0.08770210681038706
194,2226,filledfemalemale_,1210,0.08715184186882301
212,2408,filledfemalemale_,1310,0.08803986710963455
229,2591,filledfemalemale_,1410,0.08838286375916635
245,2775,filledfemalemale_,1510,0.08828828828828829
262,2958,filledfemalemale_,1610,0.08857336037863421
287,3133,filledfemalemale_,1710,0.0916054899457389
303,3317,filledfemalemale_,1810,0.09134760325595417
323,3497,filledfemalemale_,1910,0.09236488418644552
333,3687,filledfemalemale_,2010,0.09031733116354759
349,3871,filledfemalemale_,2110,0.09015758202014983
366,4054,filledfemalemale_,2210,0.09028120374938332
382,4238,filledfemalemale_,2310,0.09013685700802265
394,4426,filledfemalemale_,2410,0.08901943063714415
412,4608,filledfemalemale_,2510,0.08940972222222222
430,4790,filledfemalemale_,2610,0.08977035490605428
449,4971,filledfemalemale_,2710,0.09032387849527258
461,5159,filledfemalemale_,2810,0.0893584027912386
482,5338,filledfemalemale_,2910,0.09029599100786811
491,5529,filledfemalemale_,3010,0.08880448544040513
499,5721,filledfemalemale_,3110,0.08722251354658277
514,5906,filledfemalemale_,3210,0.08703013884185574
527,6093,filledfemalemale_,3310,0.08649269653700968
551,6269,filledfemalemale_,3410,0.08789280587015473
572,6448,filledfemalemale_,3510,0.08870967741935484
577,6643,filledfemalemale_,3610,0.08685834713231974
584,6836,filledfemalemale_,3710,0.08543007606787595
597,7023,filledfemalemale_,3810,0.08500640751815464
606,7214,filledfemalemale_,3910,0.08400332686443028
614,7406,filledfemalemale_,4010,0.08290575209289765
626,7594,filledfemalemale_,4110,0.08243350013168291
631,7789,filledfemalemale_,4210,0.08101168314289382
646,7974,filledfemalemale_,4310,0.08101329320290945
649,8171,filledfemalemale_,4410,0.07942724268755354
658,8362,filledfemalemale_,4510,0.07868930877780435
677,8543,filledfemalemale_,4610,0.07924616645206602
700,8720,filledfemalemale_,4710,0.08027522935779817
718,8902,filledfemalemale_,4810,0.08065603235228039
734,9086,filledfemalemale_,4910,0.08078362315650452
