size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
7,213,filledlowerupper_,110,0.03286384976525822
14,406,filledlowerupper_,210,0.034482758620689655
21,599,filledlowerupper_,310,0.035058430717863104
22,798,filledlowerupper_,410,0.02756892230576441
24,996,filledlowerupper_,510,0.024096385542168676
28,1192,filledlowerupper_,610,0.02348993288590604
30,1390,filledlowerupper_,710,0.02158273381294964
33,1587,filledlowerupper_,810,0.020793950850661626
39,1781,filledlowerupper_,910,0.021897810218978103
41,1979,filledlowerupper_,1010,0.020717534108135423
44,2176,filledlowerupper_,1110,0.02022058823529412
47,2373,filledlowerupper_,1210,0.01980615254951538
53,2567,filledlowerupper_,1310,0.020646669263731984
53,2767,filledlowerupper_,1410,0.01915431875677629
57,2963,filledlowerupper_,1510,0.019237259534255823
59,3161,filledlowerupper_,1610,0.01866497943688706
60,3360,filledlowerupper_,1710,0.017857142857142856
68,3552,filledlowerupper_,1810,0.019144144144144143
71,3749,filledlowerupper_,1910,0.018938383568951722
77,3943,filledlowerupper_,2010,0.019528277960943443
82,4123,emptylower_,2110,0.019888430754305117
82,4223,emptylower_,2210,0.019417475728155338
82,4323,emptylower_,2310,0.018968309044644922
82,4423,emptylower_,2410,0.01853945286004974
84,4521,emptylower_,2510,0.0185799601857996
86,4619,emptylower_,2610,0.018618748646893266
86,4665,emptylower_emptyupper_,2710,0.018435155412647373
86,4665,emptylower_emptyupper_,2810,0.018435155412647373
86,4665,emptylower_emptyupper_,2910,0.018435155412647373
86,4665,emptylower_emptyupper_,3010,0.018435155412647373
86,4665,emptylower_emptyupper_,3110,0.018435155412647373
86,4665,emptylower_emptyupper_,3210,0.018435155412647373
86,4665,emptylower_emptyupper_,3310,0.018435155412647373
86,4665,emptylower_emptyupper_,3410,0.018435155412647373
86,4665,emptylower_emptyupper_,3510,0.018435155412647373
86,4665,emptylower_emptyupper_,3610,0.018435155412647373
86,4665,emptylower_emptyupper_,3710,0.018435155412647373
86,4665,emptylower_emptyupper_,3810,0.018435155412647373
86,4665,emptylower_emptyupper_,3910,0.018435155412647373
86,4665,emptylower_emptyupper_,4010,0.018435155412647373
86,4665,emptylower_emptyupper_,4110,0.018435155412647373
86,4665,emptylower_emptyupper_,4210,0.018435155412647373
86,4665,emptylower_emptyupper_,4310,0.018435155412647373
86,4665,emptylower_emptyupper_,4410,0.018435155412647373
86,4665,emptylower_emptyupper_,4510,0.018435155412647373
86,4665,emptylower_emptyupper_,4610,0.018435155412647373
86,4665,emptylower_emptyupper_,4710,0.018435155412647373
86,4665,emptylower_emptyupper_,4810,0.018435155412647373
86,4665,emptylower_emptyupper_,4910,0.018435155412647373
