size intersection,size union,state,k,mean JI
1,19,filledfemalemale_,10,0.05263157894736842
22,198,filledfemalemale_,110,0.1111111111111111
34,386,filledfemalemale_,210,0.08808290155440414
43,577,filledfemalemale_,310,0.07452339688041594
59,761,filledfemalemale_,410,0.07752956636005257
79,941,filledfemalemale_,510,0.08395324123273114
92,1128,filledfemalemale_,610,0.08156028368794327
108,1312,filledfemalemale_,710,0.08231707317073171
120,1500,filledfemalemale_,810,0.08
141,1679,filledfemalemale_,910,0.08397855866587255
159,1861,filledfemalemale_,1010,0.08543793659322944
175,2045,filledfemalemale_,1110,0.08557457212713937
187,2233,filledfemalemale_,1210,0.08374384236453201
207,2413,filledfemalemale_,1310,0.08578532946539577
220,2600,filledfemalemale_,1410,0.08461538461538462
235,2785,filledfemalemale_,1510,0.0843806104129264
255,2965,filledfemalemale_,1610,0.08600337268128162
262,3158,filledfemalemale_,1710,0.08296390120329322
293,3327,filledfemalemale_,1810,0.0880673279230538
303,3517,filledfemalemale_,1910,0.08615297128234291
322,3698,filledfemalemale_,2010,0.08707409410492158
339,3881,filledfemalemale_,2110,0.08734862148930687
352,4068,filledfemalemale_,2210,0.08652900688298919
368,4252,filledfemalemale_,2310,0.08654750705550329
382,4438,filledfemalemale_,2410,0.08607480847228481
397,4623,filledfemalemale_,2510,0.08587497296128055
409,4811,filledfemalemale_,2610,0.08501351070463521
427,4993,filledfemalemale_,2710,0.08551972761866614
442,5178,filledfemalemale_,2810,0.08536114329857088
467,5353,filledfemalemale_,2910,0.08724079955165327
481,5539,filledfemalemale_,3010,0.08683877956309803
491,5729,filledfemalemale_,3110,0.08570431139814977
501,5919,filledfemalemale_,3210,0.08464267612772428
514,6106,filledfemalemale_,3310,0.08417949557811988
523,6297,filledfemalemale_,3410,0.08305542321740511
531,6489,filledfemalemale_,3510,0.08183079056865465
544,6676,filledfemalemale_,3610,0.08148591971240264
550,6870,filledfemalemale_,3710,0.08005822416302766
560,7060,filledfemalemale_,3810,0.07932011331444759
568,7252,filledfemalemale_,3910,0.07832322118036404
582,7438,filledfemalemale_,4010,0.07824684054853455
596,7624,filledfemalemale_,4110,0.07817418677859392
609,7811,filledfemalemale_,4210,0.07796696965817437
617,8003,filledfemalemale_,4310,0.07709608896663751
629,8191,filledfemalemale_,4410,0.07679160053717494
639,8381,filledfemalemale_,4510,0.07624388497792627
647,8498,emptyfemale_,4610,0.07613556130854318
653,8592,emptyfemale_,4710,0.07600093109869646
655,8690,emptyfemale_,4810,0.07537399309551208
657,8788,emptyfemale_,4910,0.07476103777878926
