size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
35,185,filledlowerupper_,110,0.1891891891891892
84,336,filledlowerupper_,210,0.25
128,492,filledlowerupper_,310,0.2601626016260163
174,646,filledlowerupper_,410,0.2693498452012384
216,804,filledlowerupper_,510,0.26865671641791045
259,961,filledlowerupper_,610,0.2695109261186264
299,1121,filledlowerupper_,710,0.26672613737734163
335,1285,filledlowerupper_,810,0.2607003891050584
381,1439,filledlowerupper_,910,0.26476719944405835
421,1599,filledlowerupper_,1010,0.2632895559724828
452,1768,filledlowerupper_,1110,0.25565610859728505
480,1940,filledlowerupper_,1210,0.24742268041237114
517,2103,filledlowerupper_,1310,0.24583927722301474
541,2279,filledlowerupper_,1410,0.23738481790258886
562,2458,filledlowerupper_,1510,0.22864117168429618
594,2626,filledlowerupper_,1610,0.2261995430312262
621,2799,filledlowerupper_,1710,0.22186495176848875
639,2981,filledlowerupper_,1810,0.21435759812143576
656,3164,filledlowerupper_,1910,0.20733249051833122
678,3342,filledlowerupper_,2010,0.20287253141831238
714,3506,filledlowerupper_,2110,0.20365088419851682
739,3681,filledlowerupper_,2210,0.20076066286335234
761,3859,filledlowerupper_,2310,0.19720134749935217
772,4048,filledlowerupper_,2410,0.1907114624505929
788,4232,filledlowerupper_,2510,0.18620037807183365
805,4415,filledlowerupper_,2610,0.1823329558323896
838,4582,filledlowerupper_,2710,0.1828895678742907
860,4760,filledlowerupper_,2810,0.18067226890756302
878,4942,filledlowerupper_,2910,0.17766086604613518
898,5122,filledlowerupper_,3010,0.17532213978914488
917,5303,filledlowerupper_,3110,0.17292098811993212
930,5490,filledlowerupper_,3210,0.16939890710382513
946,5674,filledlowerupper_,3310,0.16672541416989778
959,5861,filledlowerupper_,3410,0.16362395495649207
980,6040,filledlowerupper_,3510,0.16225165562913907
1000,6220,filledlowerupper_,3610,0.1607717041800643
1016,6404,filledlowerupper_,3710,0.15865084322298564
1039,6581,filledlowerupper_,3810,0.15787874183254824
1062,6758,filledlowerupper_,3910,0.1571470849363717
1069,6951,filledlowerupper_,4010,0.15379082146453749
1085,7135,filledlowerupper_,4110,0.15206727400140155
1106,7314,filledlowerupper_,4210,0.1512168444079847
1127,7493,filledlowerupper_,4310,0.150407046576805
1134,7686,filledlowerupper_,4410,0.14754098360655737
1157,7863,filledlowerupper_,4510,0.14714485565305863
1170,8050,filledlowerupper_,4610,0.1453416149068323
1189,8231,filledlowerupper_,4710,0.14445389381606122
1208,8412,filledlowerupper_,4810,0.14360437470280552
1222,8598,filledlowerupper_,4910,0.14212607583158873
