size intersection,size union,state,k,mean JI
2,18,filledlowerupper_,10,0.1111111111111111
49,171,filledlowerupper_,110,0.28654970760233917
100,320,filledlowerupper_,210,0.3125
149,471,filledlowerupper_,310,0.31634819532908703
191,629,filledlowerupper_,410,0.3036565977742448
236,784,filledlowerupper_,510,0.3010204081632653
284,936,filledlowerupper_,610,0.3034188034188034
322,1098,filledlowerupper_,710,0.29326047358834245
362,1258,filledlowerupper_,810,0.287758346581876
395,1425,filledlowerupper_,910,0.2771929824561403
445,1575,filledlowerupper_,1010,0.28253968253968254
477,1743,filledlowerupper_,1110,0.2736660929432014
503,1917,filledlowerupper_,1210,0.26238914971309335
534,2086,filledlowerupper_,1310,0.25599232981783315
564,2256,filledlowerupper_,1410,0.25
590,2430,filledlowerupper_,1510,0.24279835390946503
614,2606,filledlowerupper_,1610,0.2356101304681504
652,2768,filledlowerupper_,1710,0.23554913294797689
688,2932,filledlowerupper_,1810,0.23465211459754434
708,3112,filledlowerupper_,1910,0.2275064267352185
725,3295,filledlowerupper_,2010,0.22003034901365706
756,3464,filledlowerupper_,2110,0.21824480369515012
772,3648,filledlowerupper_,2210,0.21162280701754385
800,3820,filledlowerupper_,2310,0.2094240837696335
824,3996,filledlowerupper_,2410,0.2062062062062062
845,4175,filledlowerupper_,2510,0.20239520958083831
868,4352,filledlowerupper_,2610,0.19944852941176472
890,4530,filledlowerupper_,2710,0.19646799116997793
908,4712,filledlowerupper_,2810,0.1926994906621392
924,4896,filledlowerupper_,2910,0.18872549019607843
941,5079,filledlowerupper_,3010,0.18527269147469974
963,5257,filledlowerupper_,3110,0.18318432566102338
985,5435,filledlowerupper_,3210,0.1812327506899724
999,5621,filledlowerupper_,3310,0.17772638320583525
1019,5801,filledlowerupper_,3410,0.17565936907429752
1036,5984,filledlowerupper_,3510,0.1731283422459893
1046,6174,filledlowerupper_,3610,0.16942014901198574
1063,6357,filledlowerupper_,3710,0.16721724083687273
1084,6536,filledlowerupper_,3810,0.16585067319461444
1108,6712,filledlowerupper_,3910,0.16507747318235996
1127,6893,filledlowerupper_,4010,0.16349920208907587
1154,7066,filledlowerupper_,4110,0.1633172940843476
1176,7244,filledlowerupper_,4210,0.1623412479293208
1192,7428,filledlowerupper_,4310,0.16047388260635434
1219,7601,filledlowerupper_,4410,0.16037363504802
1236,7784,filledlowerupper_,4510,0.15878725590955806
1253,7967,filledlowerupper_,4610,0.15727375423622442
1279,8141,filledlowerupper_,4710,0.15710600663309177
1298,8322,filledlowerupper_,4810,0.155972122086037
1325,8495,filledlowerupper_,4910,0.1559741024131842
