size intersection,size union,state,k,mean JI
2,18,filledfemalemale_,10,0.1111111111111111
61,159,filledfemalemale_,110,0.3836477987421384
113,307,filledfemalemale_,210,0.36807817589576547
168,452,filledfemalemale_,310,0.37168141592920356
226,594,filledfemalemale_,410,0.38047138047138046
266,754,filledfemalemale_,510,0.35278514588859416
318,902,filledfemalemale_,610,0.352549889135255
376,1044,filledfemalemale_,710,0.36015325670498083
422,1198,filledfemalemale_,810,0.35225375626043404
466,1354,filledfemalemale_,910,0.34416543574593794
503,1517,filledfemalemale_,1010,0.3315754779169413
535,1685,filledfemalemale_,1110,0.31750741839762614
581,1839,filledfemalemale_,1210,0.31593257205002717
626,1994,filledfemalemale_,1310,0.3139418254764293
661,2159,filledfemalemale_,1410,0.30616025937934227
706,2314,filledfemalemale_,1510,0.3050993949870354
742,2478,filledfemalemale_,1610,0.2994350282485876
776,2644,filledfemalemale_,1710,0.2934947049924357
816,2804,filledfemalemale_,1810,0.29101283880171186
864,2956,filledfemalemale_,1910,0.2922868741542625
904,3116,filledfemalemale_,2010,0.2901155327342747
936,3284,filledfemalemale_,2110,0.2850182704019488
972,3448,filledfemalemale_,2210,0.2819025522041763
1009,3611,filledfemalemale_,2310,0.2794239822763777
1056,3764,filledfemalemale_,2410,0.28055260361317746
1093,3927,filledfemalemale_,2510,0.2783295136236313
1126,4094,filledfemalemale_,2610,0.27503663898387887
1165,4255,filledfemalemale_,2710,0.27379553466509987
1201,4419,filledfemalemale_,2810,0.27178094591536545
1233,4587,filledfemalemale_,2910,0.26880313930673644
1269,4751,filledfemalemale_,3010,0.26710166280782993
1303,4917,filledfemalemale_,3110,0.2649989831197885
1326,5094,filledfemalemale_,3210,0.26030624263839813
1349,5271,filledfemalemale_,3310,0.25592866628723204
1385,5435,filledfemalemale_,3410,0.2548298068077277
1417,5603,filledfemalemale_,3510,0.2529002320185615
1460,5760,filledfemalemale_,3610,0.2534722222222222
1489,5931,filledfemalemale_,3710,0.25105378519642557
1526,6094,filledfemalemale_,3810,0.25041023957991465
1563,6257,filledfemalemale_,3910,0.24980022374940067
1595,6425,filledfemalemale_,4010,0.2482490272373541
1626,6594,filledfemalemale_,4110,0.24658780709736125
1658,6762,filledfemalemale_,4210,0.24519372966577935
1693,6927,filledfemalemale_,4310,0.2444059477407247
1725,7095,filledfemalemale_,4410,0.24312896405919662
1759,7261,filledfemalemale_,4510,0.2422531331772483
1798,7422,filledfemalemale_,4610,0.24225276205874427
1818,7602,filledfemalemale_,4710,0.23914759273875297
1848,7772,filledfemalemale_,4810,0.2377766340710242
1887,7933,filledfemalemale_,4910,0.2378671372746754
