size intersection,size union,state,k,mean JI
1,19,filledblack or african americanwhite_,10,0.05263157894736842
21,199,filledblack or african americanwhite_,110,0.10552763819095477
50,370,filledblack or african americanwhite_,210,0.13513513513513514
78,542,filledblack or african americanwhite_,310,0.14391143911439114
100,720,filledblack or african americanwhite_,410,0.1388888888888889
118,902,filledblack or african americanwhite_,510,0.13082039911308205
137,1083,filledblack or african americanwhite_,610,0.1265004616805171
170,1250,filledblack or african americanwhite_,710,0.136
186,1434,filledblack or african americanwhite_,810,0.1297071129707113
207,1613,filledblack or african americanwhite_,910,0.12833230006199628
226,1794,filledblack or african americanwhite_,1010,0.12597547380156077
238,1982,filledblack or african americanwhite_,1110,0.12008072653884964
249,2171,filledblack or african americanwhite_,1210,0.11469368954398894
267,2353,filledblack or african americanwhite_,1310,0.1134721631959201
284,2536,filledblack or african americanwhite_,1410,0.11198738170347003
306,2714,filledblack or african americanwhite_,1510,0.11274871039056743
325,2895,filledblack or african americanwhite_,1610,0.11226252158894647
335,3085,filledblack or african americanwhite_,1710,0.1085899513776337
355,3265,filledblack or african americanwhite_,1810,0.10872894333843798
368,3452,filledblack or african americanwhite_,1910,0.10660486674391657
384,3636,filledblack or african americanwhite_,2010,0.10561056105610561
405,3815,filledblack or african americanwhite_,2110,0.10615989515072084
421,3999,filledblack or african americanwhite_,2210,0.10527631907976995
427,4193,filledblack or african americanwhite_,2310,0.1018363939899833
442,4378,filledblack or african americanwhite_,2410,0.10095934216537232
457,4563,filledblack or african americanwhite_,2510,0.10015340784571554
475,4745,filledblack or african americanwhite_,2610,0.10010537407797682
489,4931,filledblack or african americanwhite_,2710,0.09916852565402555
500,5120,filledblack or african americanwhite_,2810,0.09765625
510,5310,filledblack or african americanwhite_,2910,0.096045197740113
534,5486,filledblack or african americanwhite_,3010,0.0973386802770689
544,5676,filledblack or african americanwhite_,3110,0.09584214235377025
563,5857,filledblack or african americanwhite_,3210,0.09612429571452963
571,6049,filledblack or african americanwhite_,3310,0.09439576789551993
596,6224,filledblack or african americanwhite_,3410,0.09575835475578406
610,6410,filledblack or african americanwhite_,3510,0.09516380655226209
618,6602,filledblack or african americanwhite_,3610,0.09360799757649198
624,6796,filledblack or african americanwhite_,3710,0.09181871689228958
636,6984,filledblack or african americanwhite_,3810,0.09106529209621993
644,7176,filledblack or african americanwhite_,3910,0.08974358974358974
654,7366,filledblack or african americanwhite_,4010,0.08878631550366549
665,7489,emptyblack or african american_,4110,0.0887969021231139
670,7584,emptyblack or african american_,4210,0.08834388185654009
676,7678,emptyblack or african american_,4310,0.08804376139619692
683,7771,emptyblack or african american_,4410,0.087890876335092
687,7867,emptyblack or african american_,4510,0.08732680818609381
689,7965,emptyblack or african american_,4610,0.08650345260514752
695,8059,emptyblack or african american_,4710,0.08623898746742772
701,8153,emptyblack or african american_,4810,0.08598062063044278
705,8249,emptyblack or african american_,4910,0.08546490483694993
