size intersection,size union,state,k,mean JI
2,18,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.1851851851851852
27,193,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.17701994958551767
45,375,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.17522514339953033
59,561,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.16302715143419308
82,738,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.16483675130025235
104,916,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.16504084279792677
124,1096,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.16325902260898995
144,1276,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.15892658551727115
167,1453,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.1577912872475522
185,1635,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.15322943504066389
201,1819,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.15223238284519391
215,2005,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.151320066496911
230,2190,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.1492051412142736
252,2368,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.1493946391947977
274,2546,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.1489727961367237
292,2728,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.14648565466837274
312,2908,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.1467844209350538
325,3095,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.14336705014315074
340,3280,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.14087410643405196
362,3458,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.1416153409735338
390,3630,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.14205331570754354
408,3812,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.14006214498371997
421,3999,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.13869272981488714
439,4181,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.13713336075967478
454,4366,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.13544145372477573
468,4552,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.1348904250104676
488,4732,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.13479614861639103
500,4920,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.13329891694452356
514,5106,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.13212769509699784
532,5288,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.13042398561608756
548,5472,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.13016797422755685
562,5658,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.129462423865193
580,5840,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.12891276498626092
592,6028,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.1274291274959625
605,6215,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.12654559339596513
623,6397,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.12664860209966258
635,6585,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.12509906518077826
650,6770,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.12514064003161365
670,6950,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.1250080226888764
688,7132,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.124262163779147
705,7315,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.12351285221608298
716,7504,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.12317576489265004
725,7695,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.12223376570078061
735,7885,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.1213760611316498
747,8073,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.12087187637345165
755,8265,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.11941155733188726
763,8457,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.11848662572663328
774,8646,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.11816291294061403
788,8832,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.11773742327733056
802,9018,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.1167948598027519
