size intersection,size union,state,k,mean JI
1,19,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.17794486215538843
15,205,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.1503440737102242
36,384,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.18081357631516867
51,569,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.15882589025777766
76,744,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.16500440050474818
93,927,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.1652813585056553
112,1108,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.16613894250160838
131,1289,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.1678502204973028
146,1474,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.16673393870091982
161,1659,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.16516993879494318
187,1833,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.1656017079949698
198,2022,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.16130070870148688
219,2201,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.15939779469366935
236,2384,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.1596167371028391
257,2563,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.15959674824194295
271,2749,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.1576373892516783
290,2930,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.1566169913546905
311,3109,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.15680761473828525
322,3298,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.15359535393641638
338,3482,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.15293662011209194
350,3670,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.1510460325654324
371,3849,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.15126789235289365
384,4036,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.15004812418625155
398,4222,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.14800431792028124
416,4404,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.1486264294127338
428,4592,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.14625777471701587
440,4780,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.1440626069498712
451,4969,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.1433810827600243
473,5147,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.14303780358959287
490,5330,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.14201707001601527
504,5516,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.14166134306555656
514,5706,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.14089983150545649
530,5890,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.14090969975913803
551,6069,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.14019639049209195
563,6257,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.13856021841776944
574,6446,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.1365999226046493
583,6637,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.1358583505667903
597,6823,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.13506671132172401
602,7018,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.13351791393352522
624,7196,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.13355097254853754
639,7381,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.13270567665016655
658,7562,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.1325608648717815
666,7754,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.1316704078862399
673,7947,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.1307771472843207
679,8141,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.13000213130926885
691,8329,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.12947399428078885
700,8520,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.1288368101978013
709,8711,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.12862287046765983
719,8901,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.12850984552403963
737,9083,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.12828045188728587
