size intersection,size union,state,k,mean JI
3,17,filledlowerupper_,10,0.17647058823529413
30,190,filledlowerupper_,110,0.15789473684210525
67,353,filledlowerupper_,210,0.18980169971671387
105,515,filledlowerupper_,310,0.20388349514563106
138,682,filledlowerupper_,410,0.20234604105571846
166,854,filledlowerupper_,510,0.19437939110070257
199,1021,filledlowerupper_,610,0.19490695396669933
231,1189,filledlowerupper_,710,0.19428090832632464
272,1348,filledlowerupper_,810,0.20178041543026706
295,1525,filledlowerupper_,910,0.19344262295081968
320,1700,filledlowerupper_,1010,0.18823529411764706
349,1871,filledlowerupper_,1110,0.18653126670229825
379,2041,filledlowerupper_,1210,0.18569328760411563
418,2202,filledlowerupper_,1310,0.18982742960944596
442,2378,filledlowerupper_,1410,0.18587047939444912
474,2546,filledlowerupper_,1510,0.1861743912018853
501,2719,filledlowerupper_,1610,0.18425891872011768
526,2894,filledlowerupper_,1710,0.18175535590877678
544,3076,filledlowerupper_,1810,0.17685305591677503
558,3262,filledlowerupper_,1910,0.17106069895769466
591,3429,filledlowerupper_,2010,0.17235345581802275
619,3601,filledlowerupper_,2110,0.17189669536239932
654,3766,filledlowerupper_,2210,0.17365905469994689
685,3935,filledlowerupper_,2310,0.17407878017789072
719,4101,filledlowerupper_,2410,0.17532309192879786
737,4283,filledlowerupper_,2510,0.17207564791034322
754,4466,filledlowerupper_,2610,0.16883116883116883
777,4643,filledlowerupper_,2710,0.16734869696317037
801,4819,filledlowerupper_,2810,0.16621705748080515
822,4998,filledlowerupper_,2910,0.1644657863145258
839,5181,filledlowerupper_,3010,0.161937849835939
856,5364,filledlowerupper_,3110,0.15958240119313946
878,5542,filledlowerupper_,3210,0.15842656080837242
900,5720,filledlowerupper_,3310,0.15734265734265734
917,5903,filledlowerupper_,3410,0.15534473996273082
946,6074,filledlowerupper_,3510,0.15574580177807046
978,6242,filledlowerupper_,3610,0.15668055110541493
999,6421,filledlowerupper_,3710,0.15558324248559413
1018,6602,filledlowerupper_,3810,0.15419569827325053
1045,6775,filledlowerupper_,3910,0.15424354243542435
1064,6956,filledlowerupper_,4010,0.15296147211040828
1085,7135,filledlowerupper_,4110,0.15206727400140155
1104,7316,filledlowerupper_,4210,0.1509021323127392
1123,7497,filledlowerupper_,4310,0.14979325063358676
1136,7684,filledlowerupper_,4410,0.1478396668401874
1162,7858,filledlowerupper_,4510,0.14787477729702214
1177,8043,filledlowerupper_,4610,0.1463384309337312
1198,8222,filledlowerupper_,4710,0.14570664072001946
1221,8399,filledlowerupper_,4810,0.14537444933920704
1238,8582,filledlowerupper_,4910,0.14425541831740854
