size intersection,size union,state,k,mean JI
4,16,filledfemalemale_,10,0.25
59,161,filledfemalemale_,110,0.36645962732919257
117,303,filledfemalemale_,210,0.38613861386138615
167,453,filledfemalemale_,310,0.3686534216335541
212,608,filledfemalemale_,410,0.34868421052631576
269,751,filledfemalemale_,510,0.3581890812250333
323,897,filledfemalemale_,610,0.3600891861761427
368,1052,filledfemalemale_,710,0.34980988593155893
408,1212,filledfemalemale_,810,0.33663366336633666
457,1363,filledfemalemale_,910,0.33528980190755686
505,1515,filledfemalemale_,1010,0.3333333333333333
558,1662,filledfemalemale_,1110,0.33574007220216606
606,1814,filledfemalemale_,1210,0.3340683572216097
649,1971,filledfemalemale_,1310,0.32927447995941145
693,2127,filledfemalemale_,1410,0.32581100141043723
730,2290,filledfemalemale_,1510,0.31877729257641924
766,2454,filledfemalemale_,1610,0.3121434392828036
798,2622,filledfemalemale_,1710,0.30434782608695654
839,2781,filledfemalemale_,1810,0.3016900395541172
883,2937,filledfemalemale_,1910,0.3006469186244467
921,3099,filledfemalemale_,2010,0.2971926427879961
958,3262,filledfemalemale_,2110,0.2936848559166156
1001,3419,filledfemalemale_,2210,0.29277566539923955
1033,3587,filledfemalemale_,2310,0.2879843880680234
1068,3752,filledfemalemale_,2410,0.2846481876332623
1104,3916,filledfemalemale_,2510,0.2819203268641471
1143,4077,filledfemalemale_,2610,0.2803532008830022
1179,4241,filledfemalemale_,2710,0.2780004715868899
1210,4410,filledfemalemale_,2810,0.2743764172335601
1248,4572,filledfemalemale_,2910,0.27296587926509186
1281,4739,filledfemalemale_,3010,0.27031019202363366
1312,4908,filledfemalemale_,3110,0.267318663406683
1340,5080,filledfemalemale_,3210,0.2637795275590551
1389,5231,filledfemalemale_,3310,0.26553240298222136
1429,5391,filledfemalemale_,3410,0.2650714153218327
1460,5560,filledfemalemale_,3510,0.26258992805755393
1491,5729,filledfemalemale_,3610,0.26025484377727354
1526,5894,filledfemalemale_,3710,0.2589073634204275
1556,6064,filledfemalemale_,3810,0.25659630606860157
1588,6232,filledfemalemale_,3910,0.25481386392811295
1620,6400,filledfemalemale_,4010,0.253125
1653,6567,filledfemalemale_,4110,0.2517131110095934
1686,6734,filledfemalemale_,4210,0.25037125037125035
1717,6903,filledfemalemale_,4310,0.24873243517311314
1744,7076,filledfemalemale_,4410,0.24646693046919163
1773,7247,filledfemalemale_,4510,0.2446529598454533
1800,7420,filledfemalemale_,4610,0.24258760107816713
1829,7591,filledfemalemale_,4710,0.24094322223685943
1859,7761,filledfemalemale_,4810,0.23953098827470687
1891,7929,filledfemalemale_,4910,0.2384916130659604
