size intersection,size union,state,k,mean JI
1,19,filledblack or african americanwhite_,10,0.05263157894736842
20,200,filledblack or african americanwhite_,110,0.1
40,380,filledblack or african americanwhite_,210,0.10526315789473684
64,556,filledblack or african americanwhite_,310,0.11510791366906475
95,725,filledblack or african americanwhite_,410,0.1310344827586207
112,908,filledblack or african americanwhite_,510,0.12334801762114538
134,1086,filledblack or african americanwhite_,610,0.12338858195211787
153,1267,filledblack or african americanwhite_,710,0.12075769534333071
176,1444,filledblack or african americanwhite_,810,0.12188365650969529
204,1616,filledblack or african americanwhite_,910,0.12623762376237624
232,1788,filledblack or african americanwhite_,1010,0.1297539149888143
250,1970,filledblack or african americanwhite_,1110,0.12690355329949238
279,2141,filledblack or african americanwhite_,1210,0.13031293787949555
296,2324,filledblack or african americanwhite_,1310,0.12736660929432014
316,2504,filledblack or african americanwhite_,1410,0.12619808306709265
342,2678,filledblack or african americanwhite_,1510,0.1277072442120986
361,2859,filledblack or african americanwhite_,1610,0.12626792584819868
384,3036,filledblack or african americanwhite_,1710,0.12648221343873517
403,3217,filledblack or african americanwhite_,1810,0.1252719925396332
426,3394,filledblack or african americanwhite_,1910,0.12551561579257514
442,3578,filledblack or african americanwhite_,2010,0.12353269983230855
461,3759,filledblack or african americanwhite_,2110,0.1226389997339718
477,3943,filledblack or african americanwhite_,2210,0.12097387775805224
497,4123,filledblack or african americanwhite_,2310,0.12054329371816638
509,4311,filledblack or african americanwhite_,2410,0.11807005335189051
525,4495,filledblack or african americanwhite_,2510,0.1167964404894327
548,4672,filledblack or african americanwhite_,2610,0.1172945205479452
563,4857,filledblack or african americanwhite_,2710,0.11591517397570517
589,5031,filledblack or african americanwhite_,2810,0.11707414032995428
607,5213,filledblack or african americanwhite_,2910,0.11643967005563016
620,5400,filledblack or african americanwhite_,3010,0.11481481481481481
639,5581,filledblack or african americanwhite_,3110,0.11449561010571582
656,5764,filledblack or african americanwhite_,3210,0.11380985426786953
694,5926,filledblack or african americanwhite_,3310,0.1171110361120486
718,6102,filledblack or african americanwhite_,3410,0.11766633890527696
736,6284,filledblack or african americanwhite_,3510,0.11712285168682368
748,6472,filledblack or african americanwhite_,3610,0.11557478368355995
776,6644,filledblack or african americanwhite_,3710,0.11679711017459361
787,6833,filledblack or african americanwhite_,3810,0.11517635006585687
805,7015,filledblack or african americanwhite_,3910,0.11475409836065574
824,7196,filledblack or african americanwhite_,4010,0.11450806003335186
838,7382,filledblack or african americanwhite_,4110,0.11351937144405311
860,7560,filledblack or african americanwhite_,4210,0.11375661375661375
883,7737,filledblack or african americanwhite_,4310,0.1141269225798113
892,7928,filledblack or african americanwhite_,4410,0.11251261352169525
907,8113,filledblack or african americanwhite_,4510,0.1117958831504992
921,8299,filledblack or african americanwhite_,4610,0.11097722617182793
937,8483,filledblack or african americanwhite_,4710,0.11045620653070848
945,8675,filledblack or african americanwhite_,4810,0.10893371757925072
959,8861,filledblack or african americanwhite_,4910,0.10822706240830605
