size intersection,size union,state,k,mean JI
5,15,filledfemalemale_,10,0.3333333333333333
41,179,filledfemalemale_,110,0.22905027932960895
67,353,filledfemalemale_,210,0.18980169971671387
96,524,filledfemalemale_,310,0.183206106870229
105,715,filledfemalemale_,410,0.14685314685314685
122,898,filledfemalemale_,510,0.1358574610244989
146,1074,filledfemalemale_,610,0.13594040968342644
170,1250,filledfemalemale_,710,0.136
201,1419,filledfemalemale_,810,0.1416490486257928
227,1593,filledfemalemale_,910,0.14249843063402384
242,1778,filledfemalemale_,1010,0.1361079865016873
263,1957,filledfemalemale_,1110,0.13438937148696986
287,2133,filledfemalemale_,1210,0.13455227379278012
307,2313,filledfemalemale_,1310,0.1327280587980977
327,2493,filledfemalemale_,1410,0.13116726835138387
345,2675,filledfemalemale_,1510,0.12897196261682242
380,2840,filledfemalemale_,1610,0.13380281690140844
396,3024,filledfemalemale_,1710,0.13095238095238096
423,3197,filledfemalemale_,1810,0.13231154207069126
454,3366,filledfemalemale_,1910,0.1348781937017231
475,3545,filledfemalemale_,2010,0.13399153737658676
496,3724,filledfemalemale_,2110,0.13319011815252416
514,3906,filledfemalemale_,2210,0.13159242191500256
533,4087,filledfemalemale_,2310,0.13041350623929532
551,4269,filledfemalemale_,2410,0.12907003982197235
568,4452,filledfemalemale_,2510,0.1275831087151842
591,4629,filledfemalemale_,2610,0.12767336357744652
606,4814,filledfemalemale_,2710,0.12588284171167427
622,4998,filledfemalemale_,2810,0.12444977991196479
647,5173,filledfemalemale_,2910,0.12507249178426444
665,5355,filledfemalemale_,3010,0.12418300653594772
687,5533,filledfemalemale_,3110,0.12416410627146214
705,5715,filledfemalemale_,3210,0.12335958005249344
715,5905,filledfemalemale_,3310,0.12108382726502964
733,6087,filledfemalemale_,3410,0.12042056842451125
745,6275,filledfemalemale_,3510,0.11872509960159362
763,6457,filledfemalemale_,3610,0.1181663311135202
774,6646,filledfemalemale_,3710,0.11646102919049052
791,6829,filledfemalemale_,3810,0.11582955044662469
819,7001,filledfemalemale_,3910,0.11698328810169975
840,7180,filledfemalemale_,4010,0.116991643454039
852,7368,filledfemalemale_,4110,0.11563517915309446
869,7551,filledfemalemale_,4210,0.1150840948218779
886,7734,filledfemalemale_,4310,0.11455908973364365
910,7910,filledfemalemale_,4410,0.11504424778761062
937,8083,filledfemalemale_,4510,0.1159223060744773
955,8265,filledfemalemale_,4610,0.11554748941318814
976,8444,filledfemalemale_,4710,0.11558503079109426
1002,8618,filledfemalemale_,4810,0.11626827570201903
1011,8809,filledfemalemale_,4910,0.11476898626404813
