size intersection,size union,state,k,mean JI
1,19,filledlowerupper_,10,0.05263157894736842
15,205,filledlowerupper_,110,0.07317073170731707
28,392,filledlowerupper_,210,0.07142857142857142
38,582,filledlowerupper_,310,0.06529209621993128
48,772,filledlowerupper_,410,0.06217616580310881
55,965,filledlowerupper_,510,0.05699481865284974
59,1161,filledlowerupper_,610,0.050818260120585705
74,1346,filledlowerupper_,710,0.0549777117384844
86,1534,filledlowerupper_,810,0.0560625814863103
93,1727,filledlowerupper_,910,0.05385060799073538
96,1924,filledlowerupper_,1010,0.0498960498960499
109,2111,filledlowerupper_,1110,0.05163429654192326
122,2298,filledlowerupper_,1210,0.05308964316797215
138,2482,filledlowerupper_,1310,0.055600322320709106
154,2666,filledlowerupper_,1410,0.05776444111027757
163,2857,filledlowerupper_,1510,0.05705285264263213
173,3047,filledlowerupper_,1610,0.05677715786019035
195,3225,filledlowerupper_,1710,0.06046511627906977
210,3410,filledlowerupper_,1810,0.06158357771260997
220,3600,filledlowerupper_,1910,0.06111111111111111
234,3786,filledlowerupper_,2010,0.061806656101426306
247,3973,filledlowerupper_,2110,0.06216964510445507
260,4160,filledlowerupper_,2210,0.0625
263,4357,filledlowerupper_,2310,0.060362634840486575
278,4542,filledlowerupper_,2410,0.06120651695288419
293,4727,filledlowerupper_,2510,0.061984345250687536
309,4911,filledlowerupper_,2610,0.06291997556505803
320,5100,filledlowerupper_,2710,0.06274509803921569
329,5291,filledlowerupper_,2810,0.06218106218106218
334,5486,filledlowerupper_,2910,0.06088224571636894
352,5668,filledlowerupper_,3010,0.062103034580098804
370,5850,filledlowerupper_,3110,0.06324786324786325
385,6035,filledlowerupper_,3210,0.06379453189726594
399,6221,filledlowerupper_,3310,0.06413759845683974
409,6411,filledlowerupper_,3410,0.06379659959444704
413,6607,filledlowerupper_,3510,0.06250945966399274
423,6797,filledlowerupper_,3610,0.0622333382374577
431,6989,filledlowerupper_,3710,0.061668335956503076
445,7175,filledlowerupper_,3810,0.06202090592334495
456,7364,filledlowerupper_,3910,0.061922868006518195
467,7553,filledlowerupper_,4010,0.06182973652853171
484,7736,filledlowerupper_,4110,0.062564632885212
501,7919,filledlowerupper_,4210,0.0632655638338174
506,8114,filledlowerupper_,4310,0.06236135075178703
519,8301,filledlowerupper_,4410,0.06252258764004337
535,8485,filledlowerupper_,4510,0.06305244549204478
547,8673,filledlowerupper_,4610,0.06306929551481609
560,8860,filledlowerupper_,4710,0.06320541760722348
569,9051,filledlowerupper_,4810,0.06286598165948513
577,9243,filledlowerupper_,4910,0.0624256193876447
