size intersection,size union,state,k,mean JI
0,20,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.07636738906088751
2,218,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.0691792710141334
2,418,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.054471843945528155
4,616,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.04965680734047945
8,812,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.05014207045833313
9,1011,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.05079556148588782
11,1209,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.04818443206196546
15,1405,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.0476907023632722
18,1602,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.04856482221138089
18,1802,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.04546197182511625
19,1927,emptystage ii_filledstage istage iii_emptystage ii_,1010,0.04585898412975104
19,2027,emptystage ii_filledstage istage iii_emptystage ii_,1110,0.04402958028912631
19,2127,emptystage ii_filledstage istage iii_emptystage ii_,1210,0.04423107437399872
20,2226,emptystage ii_filledstage istage iii_emptystage ii_,1310,0.043757081147357324
22,2324,emptystage ii_filledstage istage iii_emptystage ii_,1410,0.044220029152013236
23,2423,emptystage ii_filledstage istage iii_emptystage ii_,1510,0.044084093461353335
23,2523,emptystage ii_filledstage istage iii_emptystage ii_,1610,0.043829512127261695
23,2623,emptystage ii_filledstage istage iii_emptystage ii_,1710,0.04251287811285582
24,2722,emptystage ii_filledstage istage iii_emptystage ii_,1810,0.04216935972736555
25,2821,emptystage ii_filledstage istage iii_emptystage ii_,1910,0.04150996504519825
25,2921,emptystage ii_filledstage istage iii_emptystage ii_,2010,0.04200723914676901
27,3019,emptystage ii_filledstage istage iii_emptystage ii_,2110,0.04183935082593701
27,3119,emptystage ii_filledstage istage iii_emptystage ii_,2210,0.041185348274228886
29,3217,emptystage ii_filledstage istage iii_emptystage ii_,2310,0.04175836219379305
29,3317,emptystage ii_filledstage istage iii_emptystage ii_,2410,0.04141052443324017
29,3417,emptystage ii_filledstage istage iii_emptystage ii_,2510,0.0409269303637454
30,3516,emptystage ii_filledstage istage iii_emptystage ii_,2610,0.04043905314419115
31,3615,emptystage ii_filledstage istage iii_emptystage ii_,2710,0.04041636324636962
31,3715,emptystage ii_filledstage istage iii_emptystage ii_,2810,0.04001792202333213
32,3814,emptystage ii_filledstage istage iii_emptystage ii_,2910,0.04053403979729678
32,3914,emptystage ii_filledstage istage iii_emptystage ii_,3010,0.0407794682065342
33,4013,emptystage ii_filledstage istage iii_emptystage ii_,3110,0.04042434789554438
33,4113,emptystage ii_filledstage istage iii_emptystage ii_,3210,0.040198116050552346
34,4212,emptystage ii_filledstage istage iii_emptystage ii_,3310,0.03969980304242587
35,4311,emptystage ii_filledstage istage iii_emptystage ii_,3410,0.04017406504744156
35,4411,emptystage ii_filledstage istage iii_emptystage ii_,3510,0.039819851802489155
36,4510,emptystage ii_filledstage istage iii_emptystage ii_,3610,0.039799084995674194
36,4610,emptystage ii_filledstage istage iii_emptystage ii_,3710,0.03940029874424846
37,4709,emptystage ii_filledstage istage iii_emptystage ii_,3810,0.03930394544949343
39,4807,emptystage ii_filledstage istage iii_emptystage ii_,3910,0.03916057650408065
39,4907,emptystage ii_filledstage istage iii_emptystage ii_,4010,0.03890665658953099
39,5007,emptystage ii_filledstage istage iii_emptystage ii_,4110,0.0383242313120637
39,5107,emptystage ii_filledstage istage iii_emptystage ii_,4210,0.03791217929744373
39,5207,emptystage ii_filledstage istage iii_emptystage ii_,4310,0.03731576381808121
39,5307,emptystage ii_filledstage istage iii_emptystage ii_,4410,0.03717049299425105
39,5407,emptystage ii_filledstage istage iii_emptystage ii_,4510,0.037056635997642744
40,5506,emptystage ii_filledstage istage iii_emptystage ii_,4610,0.03715561799731445
42,5604,emptystage ii_filledstage istage iii_emptystage ii_,4710,0.03712330084469644
44,5702,emptystage ii_filledstage istage iii_emptystage ii_,4810,0.03739986184038859
44,5802,emptystage ii_filledstage istage iii_emptystage ii_,4910,0.03704590228411656
