size intersection,size union,state,k,mean JI
1,19,filledlowerupper_,10,0.05263157894736842
46,174,filledlowerupper_,110,0.26436781609195403
94,326,filledlowerupper_,210,0.2883435582822086
150,470,filledlowerupper_,310,0.3191489361702128
195,625,filledlowerupper_,410,0.312
253,767,filledlowerupper_,510,0.32985658409387225
290,930,filledlowerupper_,610,0.3118279569892473
326,1094,filledlowerupper_,710,0.2979890310786106
374,1246,filledlowerupper_,810,0.3001605136436597
400,1420,filledlowerupper_,910,0.28169014084507044
422,1598,filledlowerupper_,1010,0.2640801001251564
453,1767,filledlowerupper_,1110,0.2563667232597623
476,1944,filledlowerupper_,1210,0.2448559670781893
512,2108,filledlowerupper_,1310,0.2428842504743833
539,2281,filledlowerupper_,1410,0.2362998684787374
567,2453,filledlowerupper_,1510,0.2311455360782715
587,2633,filledlowerupper_,1610,0.22293961260919104
614,2806,filledlowerupper_,1710,0.21881682109764788
644,2976,filledlowerupper_,1810,0.2163978494623656
672,3148,filledlowerupper_,1910,0.21346886912325286
702,3318,filledlowerupper_,2010,0.2115732368896926
734,3486,filledlowerupper_,2110,0.21055651176133103
759,3661,filledlowerupper_,2210,0.20732040426113083
788,3832,filledlowerupper_,2310,0.2056367432150313
813,4007,filledlowerupper_,2410,0.20289493386573496
843,4177,filledlowerupper_,2510,0.20181948767057697
869,4351,filledlowerupper_,2610,0.1997242013330269
895,4525,filledlowerupper_,2710,0.19779005524861878
924,4696,filledlowerupper_,2810,0.196763202725724
949,4871,filledlowerupper_,2910,0.19482652432765346
971,5049,filledlowerupper_,3010,0.19231530996236879
1000,5220,filledlowerupper_,3110,0.19157088122605365
1026,5394,filledlowerupper_,3210,0.19021134593993325
1049,5571,filledlowerupper_,3310,0.18829653563094598
1072,5748,filledlowerupper_,3410,0.18649965205288796
1098,5922,filledlowerupper_,3510,0.18541033434650456
1117,6103,filledlowerupper_,3610,0.18302474193019827
1140,6280,filledlowerupper_,3710,0.18152866242038215
1163,6457,filledlowerupper_,3810,0.180114604305405
1186,6634,filledlowerupper_,3910,0.1787760024118179
1211,6809,filledlowerupper_,4010,0.17785284182699368
1232,6988,filledlowerupper_,4110,0.17630223239839726
1254,7166,filledlowerupper_,4210,0.17499302260675412
1273,7347,filledlowerupper_,4310,0.17326800054443992
1296,7524,filledlowerupper_,4410,0.1722488038277512
1316,7704,filledlowerupper_,4510,0.17082035306334373
1335,7885,filledlowerupper_,4610,0.16930881420418517
1359,8061,filledlowerupper_,4710,0.16858950502419054
1379,8241,filledlowerupper_,4810,0.1673340614003155
1405,8415,filledlowerupper_,4910,0.16696375519904932
