size intersection,size union,state,k,mean JI
4,16,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.13791423001949318
48,172,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.31802140793162664
93,327,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.3286888711277489
143,477,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.3205758249671861
183,637,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.3237226296692121
228,792,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.31885215115946464
272,948,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.3139518584770469
314,1106,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.3204377995174279
342,1278,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.31237426083545217
374,1446,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.3032172843485779
404,1616,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.29219979677407
429,1791,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.2826876160686068
465,1955,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.2780159220034462
491,2129,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.26763933525241823
517,2303,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.263877549541248
561,2459,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.26417920745622797
600,2620,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.26044397722446905
629,2791,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.2598092600915621
646,2974,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.2551519812418682
670,3150,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.2524441403818836
696,3324,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.2488674448430894
728,3492,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.24807559298792012
756,3664,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.24439509805437465
784,3836,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.2426146146080497
815,4005,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.2416625162304431
845,4175,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.23878673071008275
873,4347,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.2371915935605963
907,4513,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.2343294401974966
935,4685,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.23234975597711557
974,4846,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.23268243372059882
1000,5020,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.2304566377104098
1029,5191,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.2281701403759108
1053,5367,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.22630742761849795
1075,5545,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.22416121462368085
1095,5725,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.22278622165735093
1116,5904,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.22205376109353284
1143,6077,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.22053553919526603
1172,6248,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.21904636409548053
1196,6424,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.21706545666999835
1216,6604,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.21564223845536953
1247,6773,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.21542587081568842
1272,6948,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.2139197823648942
1284,7136,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.21125337347071813
1303,7317,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.20966168997000956
1328,7492,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.20822304171861647
1354,7666,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.20629340543246824
1385,7835,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.20501752238123716
1409,8011,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.2040465097531372
1433,8187,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.2029490598416083
1450,8370,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.20226106262917876
