size intersection,size union,state,k,mean JI
0,20,filledblack or african americanwhite_,10,0.0
11,209,filledblack or african americanwhite_,110,0.05263157894736842
23,397,filledblack or african americanwhite_,210,0.05793450881612091
35,501,emptyblack or african american_,310,0.06986027944111776
42,594,emptyblack or african american_,410,0.0707070707070707
45,691,emptyblack or african american_,510,0.06512301013024602
49,787,emptyblack or african american_,610,0.062261753494282084
54,882,emptyblack or african american_,710,0.061224489795918366
56,980,emptyblack or african american_,810,0.05714285714285714
60,1076,emptyblack or african american_,910,0.055762081784386616
60,1176,emptyblack or african american_,1010,0.05102040816326531
61,1275,emptyblack or african american_,1110,0.04784313725490196
61,1375,emptyblack or african american_,1210,0.04436363636363636
62,1474,emptyblack or african american_,1310,0.04206241519674356
62,1574,emptyblack or african american_,1410,0.03939008894536213
63,1673,emptyblack or african american_,1510,0.03765690376569038
64,1772,emptyblack or african american_,1610,0.03611738148984198
65,1871,emptyblack or african american_,1710,0.034740780331373594
66,1970,emptyblack or african american_,1810,0.03350253807106599
67,2069,emptyblack or african american_,1910,0.032382793620106334
67,2169,emptyblack or african american_,2010,0.030889810972798526
67,2269,emptyblack or african american_,2110,0.029528426619656236
69,2367,emptyblack or african american_,2210,0.029150823827629912
69,2467,emptyblack or african american_,2310,0.027969193352249695
70,2566,emptyblack or african american_,2410,0.027279812938425563
72,2664,emptyblack or african american_,2510,0.02702702702702703
73,2763,emptyblack or african american_,2610,0.026420557365182774
74,2862,emptyblack or african american_,2710,0.02585604472396925
75,2961,emptyblack or african american_,2810,0.025329280648429583
75,3061,emptyblack or african american_,2910,0.024501796798431886
76,3160,emptyblack or african american_,3010,0.024050632911392405
76,3260,emptyblack or african american_,3110,0.023312883435582823
76,3360,emptyblack or african american_,3210,0.02261904761904762
76,3460,emptyblack or african american_,3310,0.021965317919075144
76,3560,emptyblack or african american_,3410,0.021348314606741574
76,3660,emptyblack or african american_,3510,0.020765027322404372
77,3759,emptyblack or african american_,3610,0.020484171322160148
77,3859,emptyblack or african american_,3710,0.01995335579165587
77,3959,emptyblack or african american_,3810,0.01944935589795403
77,4059,emptyblack or african american_,3910,0.018970189701897018
77,4159,emptyblack or african american_,4010,0.018514065881221446
78,4258,emptyblack or african american_,4110,0.018318459370596524
78,4358,emptyblack or african american_,4210,0.017898118402937126
79,4457,emptyblack or african american_,4310,0.017724927080996187
79,4557,emptyblack or african american_,4410,0.017335966644722405
79,4657,emptyblack or african american_,4510,0.016963710543268198
79,4757,emptyblack or african american_,4610,0.016607105318478033
79,4857,emptyblack or african american_,4710,0.01626518427012559
80,4956,emptyblack or african american_,4810,0.016142050040355124
80,5056,emptyblack or african american_,4910,0.015822784810126583
