size intersection,size union,state,k,mean JI
3,17,filledfemalemale_,10,0.17647058823529413
27,193,filledfemalemale_,110,0.13989637305699482
49,371,filledfemalemale_,210,0.1320754716981132
89,531,filledfemalemale_,310,0.16760828625235405
114,706,filledfemalemale_,410,0.16147308781869688
138,882,filledfemalemale_,510,0.1564625850340136
160,1060,filledfemalemale_,610,0.1509433962264151
175,1245,filledfemalemale_,710,0.14056224899598393
200,1420,filledfemalemale_,810,0.14084507042253522
218,1602,filledfemalemale_,910,0.13607990012484394
243,1777,filledfemalemale_,1010,0.13674732695554306
263,1957,filledfemalemale_,1110,0.13438937148696986
283,2137,filledfemalemale_,1210,0.13242863827795975
302,2318,filledfemalemale_,1310,0.13028472821397757
316,2504,filledfemalemale_,1410,0.12619808306709265
340,2680,filledfemalemale_,1510,0.12686567164179105
356,2864,filledfemalemale_,1610,0.12430167597765363
365,3055,filledfemalemale_,1710,0.11947626841243862
382,3238,filledfemalemale_,1810,0.1179740580605312
390,3430,filledfemalemale_,1910,0.11370262390670553
406,3614,filledfemalemale_,2010,0.11234089651355839
416,3804,filledfemalemale_,2110,0.10935856992639327
437,3983,filledfemalemale_,2210,0.1097162942505649
454,4166,filledfemalemale_,2310,0.10897743638982237
479,4341,filledfemalemale_,2410,0.11034323888504953
500,4520,filledfemalemale_,2510,0.11061946902654868
515,4705,filledfemalemale_,2610,0.10945802337938364
525,4895,filledfemalemale_,2710,0.10725229826353422
537,5083,filledfemalemale_,2810,0.10564627188668109
553,5267,filledfemalemale_,2910,0.1049933548509588
568,5452,filledfemalemale_,3010,0.10418195157740279
577,5643,filledfemalemale_,3110,0.10225057593478647
583,5837,filledfemalemale_,3210,0.09988007538118897
600,6020,filledfemalemale_,3310,0.09966777408637874
615,6205,filledfemalemale_,3410,0.0991136180499597
630,6390,filledfemalemale_,3510,0.09859154929577464
642,6578,filledfemalemale_,3610,0.09759805411979325
656,6764,filledfemalemale_,3710,0.09698403311649911
667,6953,filledfemalemale_,3810,0.09592981446857472
679,7141,filledfemalemale_,3910,0.0950847220277272
698,7322,filledfemalemale_,4010,0.09532914504233816
718,7502,filledfemalemale_,4110,0.09570781125033324
741,7679,filledfemalemale_,4210,0.09649693970569084
750,7870,filledfemalemale_,4310,0.09529860228716645
763,8057,filledfemalemale_,4410,0.0947002606429192
780,8240,filledfemalemale_,4510,0.09466019417475728
800,8420,filledfemalemale_,4610,0.09501187648456057
816,8604,filledfemalemale_,4710,0.09483960948396095
836,8784,filledfemalemale_,4810,0.09517304189435337
851,8969,filledfemalemale_,4910,0.09488237261679117
