size intersection,size union,state,k,mean JI
1,19,filledblack or african americanwhite_,10,0.05263157894736842
1,219,filledblack or african americanwhite_,110,0.0045662100456621
9,406,emptyblack or african american_,210,0.022167487684729065
10,505,emptyblack or african american_,310,0.019801980198019802
10,605,emptyblack or african american_,410,0.01652892561983471
11,704,emptyblack or african american_,510,0.015625
11,804,emptyblack or african american_,610,0.013681592039800995
12,903,emptyblack or african american_,710,0.013289036544850499
12,1003,emptyblack or african american_,810,0.011964107676969093
12,1103,emptyblack or african american_,910,0.010879419764279238
12,1203,emptyblack or african american_,1010,0.00997506234413965
12,1303,emptyblack or african american_,1110,0.00920951650038373
12,1403,emptyblack or african american_,1210,0.008553100498930863
12,1503,emptyblack or african american_,1310,0.007984031936127744
12,1603,emptyblack or african american_,1410,0.007485963817841547
13,1702,emptyblack or african american_,1510,0.00763807285546416
13,1802,emptyblack or african american_,1610,0.007214206437291898
14,1901,emptyblack or african american_,1710,0.007364544976328248
15,2000,emptyblack or african american_,1810,0.0075
16,2099,emptyblack or african american_,1910,0.007622677465459742
17,2198,emptyblack or african american_,2010,0.0077343039126478615
18,2297,emptyblack or african american_,2110,0.00783630822812364
18,2397,emptyblack or african american_,2210,0.007509386733416771
18,2497,emptyblack or african american_,2310,0.007208650380456548
18,2597,emptyblack or african american_,2410,0.006931074316519061
19,2696,emptyblack or african american_,2510,0.007047477744807121
20,2795,emptyblack or african american_,2610,0.007155635062611807
20,2895,emptyblack or african american_,2710,0.0069084628670120895
21,2994,emptyblack or african american_,2810,0.0070140280561122245
21,3094,emptyblack or african american_,2910,0.006787330316742082
21,3194,emptyblack or african american_,3010,0.006574827802128992
22,3293,emptyblack or african american_,3110,0.006680838141512299
22,3393,emptyblack or african american_,3210,0.006483937518420277
22,3493,emptyblack or african american_,3310,0.006298310907529345
22,3593,emptyblack or african american_,3410,0.006123016977456165
22,3693,emptyblack or african american_,3510,0.005957216355266721
22,3793,emptyblack or african american_,3610,0.005800158186132349
22,3893,emptyblack or african american_,3710,0.005651168764449011
22,3993,emptyblack or african american_,3810,0.005509641873278237
22,4093,emptyblack or african american_,3910,0.005375030539946249
23,4192,emptyblack or african american_,4010,0.005486641221374045
23,4292,emptyblack or african american_,4110,0.005358807082945014
24,4391,emptyblack or african american_,4210,0.005465725347301298
24,4491,emptyblack or african american_,4310,0.005344021376085505
24,4591,emptyblack or african american_,4410,0.005227619255064256
24,4691,emptyblack or african american_,4510,0.005116179918993818
24,4791,emptyblack or african american_,4610,0.005009392611145898
24,4891,emptyblack or african american_,4710,0.0049069719893682275
24,4991,emptyblack or african american_,4810,0.004808655580044079
24,5091,emptyblack or african american_,4910,0.004714201532115498
