size intersection,size union,state,k,mean JI
2,18,filledfemalemale_,10,0.1111111111111111
25,195,filledfemalemale_,110,0.1282051282051282
57,363,filledfemalemale_,210,0.15702479338842976
81,539,filledfemalemale_,310,0.150278293135436
109,711,filledfemalemale_,410,0.15330520393811534
131,889,filledfemalemale_,510,0.14735658042744657
158,1062,filledfemalemale_,610,0.1487758945386064
177,1243,filledfemalemale_,710,0.1423974255832663
202,1418,filledfemalemale_,810,0.14245416078984485
222,1598,filledfemalemale_,910,0.13892365456821026
235,1785,filledfemalemale_,1010,0.13165266106442577
255,1965,filledfemalemale_,1110,0.1297709923664122
270,2150,filledfemalemale_,1210,0.12558139534883722
293,2327,filledfemalemale_,1310,0.1259131929522991
310,2510,filledfemalemale_,1410,0.12350597609561753
332,2688,filledfemalemale_,1510,0.12351190476190477
352,2868,filledfemalemale_,1610,0.12273361227336123
373,3047,filledfemalemale_,1710,0.12241549064653758
394,3226,filledfemalemale_,1810,0.12213267203967762
411,3409,filledfemalemale_,1910,0.12056321501906718
431,3589,filledfemalemale_,2010,0.12008916132627473
450,3770,filledfemalemale_,2110,0.11936339522546419
470,3950,filledfemalemale_,2210,0.1189873417721519
486,4134,filledfemalemale_,2310,0.11756168359941944
499,4321,filledfemalemale_,2410,0.11548252719277945
520,4500,filledfemalemale_,2510,0.11555555555555555
537,4683,filledfemalemale_,2610,0.11467008327994875
559,4861,filledfemalemale_,2710,0.11499691421518206
572,5048,filledfemalemale_,2810,0.1133122028526149
592,5228,filledfemalemale_,2910,0.11323641928079571
605,5415,filledfemalemale_,3010,0.11172668513388735
620,5600,filledfemalemale_,3110,0.11071428571428571
643,5777,filledfemalemale_,3210,0.1113034446944781
662,5958,filledfemalemale_,3310,0.1111111111111111
669,6151,filledfemalemale_,3410,0.10876280279629329
694,6326,filledfemalemale_,3510,0.10970597533986721
707,6513,filledfemalemale_,3610,0.10855212651619837
717,6703,filledfemalemale_,3710,0.10696702968819931
727,6893,filledfemalemale_,3810,0.10546931669809952
743,7077,filledfemalemale_,3910,0.10498798926098629
764,7256,filledfemalemale_,4010,0.10529217199558985
774,7446,filledfemalemale_,4110,0.10394842868654311
795,7625,filledfemalemale_,4210,0.10426229508196722
812,7808,filledfemalemale_,4310,0.10399590163934426
827,7993,filledfemalemale_,4410,0.1034655323407982
841,8179,filledfemalemale_,4510,0.10282430614989607
855,8365,filledfemalemale_,4610,0.1022115959354453
870,8550,filledfemalemale_,4710,0.10175438596491228
888,8732,filledfemalemale_,4810,0.1016949152542373
906,8914,filledfemalemale_,4910,0.10163787300875028
