size intersection,size union,state,k,mean JI
3,17,filledfemalemale_,10,0.17647058823529413
29,191,filledfemalemale_,110,0.1518324607329843
43,377,filledfemalemale_,210,0.11405835543766578
66,554,filledfemalemale_,310,0.11913357400722022
95,725,filledfemalemale_,410,0.1310344827586207
123,897,filledfemalemale_,510,0.13712374581939799
144,1076,filledfemalemale_,610,0.13382899628252787
168,1252,filledfemalemale_,710,0.134185303514377
193,1427,filledfemalemale_,810,0.13524877365101612
220,1600,filledfemalemale_,910,0.1375
241,1779,filledfemalemale_,1010,0.13546936481169197
264,1956,filledfemalemale_,1110,0.13496932515337423
283,2137,filledfemalemale_,1210,0.13242863827795975
311,2309,filledfemalemale_,1310,0.1346903421394543
335,2485,filledfemalemale_,1410,0.13480885311871227
352,2668,filledfemalemale_,1510,0.13193403298350825
368,2852,filledfemalemale_,1610,0.12903225806451613
398,3022,filledfemalemale_,1710,0.1317008603573792
418,3202,filledfemalemale_,1810,0.13054341036851969
443,3377,filledfemalemale_,1910,0.1311815220610009
464,3556,filledfemalemale_,2010,0.13048368953880765
477,3743,filledfemalemale_,2110,0.1274378840502271
486,3934,filledfemalemale_,2210,0.1235383833248602
509,4111,filledfemalemale_,2310,0.12381415713938214
530,4290,filledfemalemale_,2410,0.12354312354312354
552,4468,filledfemalemale_,2510,0.12354521038495972
569,4651,filledfemalemale_,2610,0.12233928187486562
585,4835,filledfemalemale_,2710,0.12099276111685625
608,5012,filledfemalemale_,2810,0.12130885873902633
625,5195,filledfemalemale_,2910,0.12030798845043311
640,5380,filledfemalemale_,3010,0.11895910780669144
651,5569,filledfemalemale_,3110,0.11689710899622913
670,5750,filledfemalemale_,3210,0.11652173913043479
688,5932,filledfemalemale_,3310,0.11598111935266352
708,6112,filledfemalemale_,3410,0.11583769633507854
729,6291,filledfemalemale_,3510,0.11587982832618025
750,6470,filledfemalemale_,3610,0.11591962905718702
766,6654,filledfemalemale_,3710,0.11511872557859934
779,6841,filledfemalemale_,3810,0.11387224090045316
793,7027,filledfemalemale_,3910,0.11285043404013093
812,7208,filledfemalemale_,4010,0.11265260821309656
830,7390,filledfemalemale_,4110,0.11231393775372124
840,7580,filledfemalemale_,4210,0.11081794195250659
853,7767,filledfemalemale_,4310,0.1098236127204841
864,7956,filledfemalemale_,4410,0.1085972850678733
876,8144,filledfemalemale_,4510,0.1075638506876228
884,8336,filledfemalemale_,4610,0.10604606525911708
904,8516,filledfemalemale_,4710,0.10615312353217474
911,8709,filledfemalemale_,4810,0.10460443219657825
937,8883,filledfemalemale_,4910,0.10548238207812675
