size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
3,217,filledlowerupper_,110,0.013824884792626729
4,416,filledlowerupper_,210,0.009615384615384616
7,613,filledlowerupper_,310,0.011419249592169658
16,804,filledlowerupper_,410,0.01990049751243781
24,996,filledlowerupper_,510,0.024096385542168676
35,1185,filledlowerupper_,610,0.029535864978902954
43,1377,filledlowerupper_,710,0.03122730573710966
45,1575,filledlowerupper_,810,0.02857142857142857
49,1771,filledlowerupper_,910,0.02766798418972332
52,1968,filledlowerupper_,1010,0.026422764227642278
64,2156,filledlowerupper_,1110,0.029684601113172542
67,2353,filledlowerupper_,1210,0.02847428814279643
75,2545,filledlowerupper_,1310,0.029469548133595286
82,2738,filledlowerupper_,1410,0.029948867786705625
90,2930,filledlowerupper_,1510,0.030716723549488054
101,3119,filledlowerupper_,1610,0.0323821737736454
106,3314,filledlowerupper_,1710,0.03198551599275799
110,3510,filledlowerupper_,1810,0.03133903133903134
116,3704,filledlowerupper_,1910,0.03131749460043196
118,3861,emptyupper_,2010,0.03056203056203056
121,3958,emptyupper_,2110,0.03057099545224861
124,4055,emptyupper_,2210,0.030579531442663378
130,4149,emptyupper_,2310,0.03133285128946734
132,4247,emptyupper_,2410,0.03108076289145279
135,4344,emptyupper_,2510,0.031077348066298343
140,4439,emptyupper_,2610,0.03153863482766389
142,4537,emptyupper_,2710,0.03129821467930351
144,4635,emptyupper_,2810,0.031067961165048542
144,4735,emptyupper_,2910,0.03041182682154171
147,4832,emptyupper_,3010,0.030422185430463575
149,4930,emptyupper_,3110,0.03022312373225152
149,5030,emptyupper_,3210,0.029622266401590457
151,5128,emptyupper_,3310,0.029446177847113883
152,5227,emptyupper_,3410,0.029079778075377847
154,5325,emptyupper_,3510,0.02892018779342723
156,5423,emptyupper_,3610,0.028766365480361423
157,5522,emptyupper_,3710,0.028431727634914885
158,5558,emptylower_emptyupper_,3810,0.028427491903562432
158,5558,emptylower_emptyupper_,3910,0.028427491903562432
158,5558,emptylower_emptyupper_,4010,0.028427491903562432
158,5558,emptylower_emptyupper_,4110,0.028427491903562432
158,5558,emptylower_emptyupper_,4210,0.028427491903562432
158,5558,emptylower_emptyupper_,4310,0.028427491903562432
158,5558,emptylower_emptyupper_,4410,0.028427491903562432
158,5558,emptylower_emptyupper_,4510,0.028427491903562432
158,5558,emptylower_emptyupper_,4610,0.028427491903562432
158,5558,emptylower_emptyupper_,4710,0.028427491903562432
158,5558,emptylower_emptyupper_,4810,0.028427491903562432
158,5558,emptylower_emptyupper_,4910,0.028427491903562432
