size intersection,size union,state,k,mean JI
3,17,filledlowerupper_,10,0.17647058823529413
33,187,filledlowerupper_,110,0.17647058823529413
64,356,filledlowerupper_,210,0.1797752808988764
84,536,filledlowerupper_,310,0.15671641791044777
105,715,filledlowerupper_,410,0.14685314685314685
133,887,filledlowerupper_,510,0.14994363021420518
157,1063,filledlowerupper_,610,0.14769520225776106
185,1235,filledlowerupper_,710,0.14979757085020243
205,1415,filledlowerupper_,810,0.14487632508833923
225,1595,filledlowerupper_,910,0.14106583072100312
239,1781,filledlowerupper_,1010,0.13419427288040428
258,1962,filledlowerupper_,1110,0.13149847094801223
280,2140,filledlowerupper_,1210,0.1308411214953271
306,2314,filledlowerupper_,1310,0.13223854796888504
324,2496,filledlowerupper_,1410,0.12980769230769232
345,2675,filledlowerupper_,1510,0.12897196261682242
359,2861,filledlowerupper_,1610,0.12548060118839566
381,3039,filledlowerupper_,1710,0.12537018756169793
397,3223,filledlowerupper_,1810,0.12317716413279553
422,3398,filledlowerupper_,1910,0.12419070041200707
434,3586,filledlowerupper_,2010,0.12102621305075292
450,3770,filledlowerupper_,2110,0.11936339522546419
462,3958,filledlowerupper_,2210,0.1167256189994947
481,4139,filledlowerupper_,2310,0.11621164532495772
490,4330,filledlowerupper_,2410,0.11316397228637413
509,4511,filledlowerupper_,2510,0.1128352915096431
525,4695,filledlowerupper_,2610,0.11182108626198083
545,4875,filledlowerupper_,2710,0.1117948717948718
564,5056,filledlowerupper_,2810,0.1115506329113924
581,5239,filledlowerupper_,2910,0.11089902653178088
594,5426,filledlowerupper_,3010,0.109472908219683
608,5612,filledlowerupper_,3110,0.1083392729864576
621,5799,filledlowerupper_,3210,0.10708742886704604
640,5980,filledlowerupper_,3310,0.10702341137123746
656,6164,filledlowerupper_,3410,0.10642439974042829
668,6352,filledlowerupper_,3510,0.10516372795969774
681,6539,filledlowerupper_,3610,0.10414436458174033
696,6724,filledlowerupper_,3710,0.10350981558596074
709,6911,filledlowerupper_,3810,0.10259007379539864
724,7096,filledlowerupper_,3910,0.1020293122886133
740,7280,filledlowerupper_,4010,0.10164835164835165
756,7464,filledlowerupper_,4110,0.10128617363344052
770,7650,filledlowerupper_,4210,0.10065359477124183
777,7843,filledlowerupper_,4310,0.09906923371158995
796,8024,filledlowerupper_,4410,0.0992023928215354
817,8203,filledlowerupper_,4510,0.09959770815555284
832,8388,filledlowerupper_,4610,0.09918931807343824
848,8572,filledlowerupper_,4710,0.09892673821745217
862,8758,filledlowerupper_,4810,0.09842429778488239
876,8944,filledlowerupper_,4910,0.09794275491949911
