size intersection,size union,state,k,mean JI
5,15,filledfemalemale_,10,0.3333333333333333
59,161,filledfemalemale_,110,0.36645962732919257
96,324,filledfemalemale_,210,0.2962962962962963
143,477,filledfemalemale_,310,0.29979035639413
186,634,filledfemalemale_,410,0.29337539432176657
226,794,filledfemalemale_,510,0.28463476070528965
279,941,filledfemalemale_,610,0.2964930924548353
322,1098,filledfemalemale_,710,0.29326047358834245
362,1258,filledfemalemale_,810,0.287758346581876
403,1417,filledfemalemale_,910,0.28440366972477066
441,1579,filledfemalemale_,1010,0.279290690310323
483,1737,filledfemalemale_,1110,0.27806563039723664
524,1896,filledfemalemale_,1210,0.27637130801687765
560,2060,filledfemalemale_,1310,0.27184466019417475
584,2236,filledfemalemale_,1410,0.26118067978533094
619,2401,filledfemalemale_,1510,0.25780924614743855
654,2566,filledfemalemale_,1610,0.254871395167576
683,2737,filledfemalemale_,1710,0.2495432955791012
712,2908,filledfemalemale_,1810,0.24484181568088034
744,3076,filledfemalemale_,1910,0.24187256176853056
772,3248,filledfemalemale_,2010,0.2376847290640394
809,3411,filledfemalemale_,2110,0.23717384931105248
834,3586,filledfemalemale_,2210,0.23257110987172336
864,3756,filledfemalemale_,2310,0.23003194888178913
885,3935,filledfemalemale_,2410,0.22490470139771285
921,4099,filledfemalemale_,2510,0.22468894852403026
946,4274,filledfemalemale_,2610,0.2213383247543285
982,4438,filledfemalemale_,2710,0.22127084272194683
1021,4599,filledfemalemale_,2810,0.22200478364861925
1048,4772,filledfemalemale_,2910,0.2196144174350377
1076,4944,filledfemalemale_,3010,0.21763754045307443
1107,5113,filledfemalemale_,3110,0.21650694308625074
1133,5287,filledfemalemale_,3210,0.2142992245129563
1166,5454,filledfemalemale_,3310,0.2137880454712138
1193,5627,filledfemalemale_,3410,0.21201350630886795
1231,5789,filledfemalemale_,3510,0.21264467092762135
1271,5949,filledfemalemale_,3610,0.2136493528324088
1303,6117,filledfemalemale_,3710,0.21301291482752985
1337,6283,filledfemalemale_,3810,0.2127964348241286
1364,6456,filledfemalemale_,3910,0.21127633209417596
1389,6631,filledfemalemale_,4010,0.20947066807419695
1414,6806,filledfemalemale_,4110,0.20775786071113722
1433,6987,filledfemalemale_,4210,0.2050951767568341
1462,7158,filledfemalemale_,4310,0.20424699636770047
1485,7335,filledfemalemale_,4410,0.20245398773006135
1500,7520,filledfemalemale_,4510,0.19946808510638298
1528,7692,filledfemalemale_,4610,0.19864794591783672
1554,7866,filledfemalemale_,4710,0.19755911517925248
1582,8038,filledfemalemale_,4810,0.19681512814132868
1620,8200,filledfemalemale_,4910,0.1975609756097561
