size intersection,size union,state,k,mean JI
3,17,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.17919389978213507
47,173,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.178086967648967
90,330,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.17693603545189363
140,480,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.18827591975242264
178,642,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.1824026766662803
211,809,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.17503447897968458
237,983,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.16612087220433125
278,1142,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.1649494683630604
299,1321,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.15313084665925386
327,1493,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.14982736423917462
358,1662,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.14507921047187264
378,1842,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.14194270050741667
400,2020,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.13910158671950812
429,2191,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.1365672468905489
457,2363,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.13394941194063326
491,2529,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.13329459471983335
511,2709,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.13041375385149698
538,2882,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.1298828347234264
567,3053,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.12824435896683453
598,3222,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.12743874632748867
625,3395,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.12615880268107768
649,3571,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.12600072604578272
679,3741,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.12467402182864151
705,3915,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.12376586371644316
733,4087,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.12212776883256705
751,4269,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.12017569192619766
773,4447,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.11843692828008993
800,4620,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.11767963744582444
827,4793,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.11628028005542614
854,4966,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.1163263511674063
882,5138,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.11540069049354512
906,5314,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.11494391592208392
939,5481,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.11453884861763582
960,5660,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.11321716160780443
980,5840,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.11346401682057676
1008,6012,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.11281278410419097
1032,6188,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.11227299258287422
1052,6368,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.11135470052848412
1074,6546,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.11056002937837218
1088,6732,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.10894543380130244
1112,6908,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.10880566676266175
1130,7090,emptystage i_emptystage i_filledstage iistage iii_,4110,0.10799777637579121
1152,7268,emptystage i_emptystage i_filledstage iistage iii_,4210,0.10750512828027992
1171,7449,emptystage i_emptystage i_filledstage iistage iii_,4310,0.10687895902878557
1189,7631,emptystage i_emptystage i_filledstage iistage iii_,4410,0.1059959433964301
1215,7805,emptystage i_emptystage i_filledstage iistage iii_,4510,0.10576685935903733
1233,7987,emptystage i_emptystage i_filledstage iistage iii_,4610,0.1051101945628397
1260,8160,emptystage i_emptystage i_filledstage iistage iii_,4710,0.10481780471062745
1279,8341,emptystage i_emptystage i_filledstage iistage iii_,4810,0.10416030851822566
1296,8524,emptystage i_emptystage i_filledstage iistage iii_,4910,0.10360885230273058
