size intersection,size union,state,k,mean JI
4,16,filledasianwhite_,10,0.25
37,183,filledasianwhite_,110,0.20218579234972678
83,337,filledasianwhite_,210,0.24629080118694363
114,506,filledasianwhite_,310,0.22529644268774704
151,669,filledasianwhite_,410,0.2257100149476831
178,842,filledasianwhite_,510,0.21140142517814728
216,1004,filledasianwhite_,610,0.2151394422310757
244,1176,filledasianwhite_,710,0.20748299319727892
260,1360,filledasianwhite_,810,0.19117647058823528
292,1528,filledasianwhite_,910,0.19109947643979058
316,1704,filledasianwhite_,1010,0.18544600938967137
343,1877,filledasianwhite_,1110,0.18273841236014918
372,2048,filledasianwhite_,1210,0.181640625
403,2217,filledasianwhite_,1310,0.18177717636445648
417,2403,filledasianwhite_,1410,0.1735330836454432
447,2573,filledasianwhite_,1510,0.1737271667314419
465,2755,filledasianwhite_,1610,0.16878402903811252
486,2934,filledasianwhite_,1710,0.1656441717791411
511,3109,filledasianwhite_,1810,0.16436153103891926
534,3286,filledasianwhite_,1910,0.16250760803408398
552,3468,filledasianwhite_,2010,0.15916955017301038
571,3649,filledasianwhite_,2110,0.15648122773362566
601,3819,filledasianwhite_,2210,0.15737103953914638
627,3993,filledasianwhite_,2310,0.15702479338842976
649,4171,filledasianwhite_,2410,0.1555981778949892
671,4349,filledasianwhite_,2510,0.15428834214762013
696,4524,filledasianwhite_,2610,0.15384615384615385
724,4696,filledasianwhite_,2710,0.15417376490630325
740,4880,filledasianwhite_,2810,0.15163934426229508
768,5052,filledasianwhite_,2910,0.15201900237529692
785,5235,filledasianwhite_,3010,0.14995224450811842
804,5416,filledasianwhite_,3110,0.1484490398818316
821,5599,filledasianwhite_,3210,0.14663332737988927
842,5778,filledasianwhite_,3310,0.1457251644167532
864,5956,filledasianwhite_,3410,0.145063801208865
886,6134,filledasianwhite_,3510,0.14444082164982067
901,6319,filledasianwhite_,3610,0.1425858521918025
919,6501,filledasianwhite_,3710,0.14136286725119213
932,6688,filledasianwhite_,3810,0.13935406698564592
956,6864,filledasianwhite_,3910,0.13927738927738928
974,7046,filledasianwhite_,4010,0.1382344592676696
990,7230,filledasianwhite_,4110,0.13692946058091288
1010,7410,filledasianwhite_,4210,0.13630229419703105
1027,7593,filledasianwhite_,4310,0.13525615698669827
1043,7777,filledasianwhite_,4410,0.1341134113411341
1058,7962,filledasianwhite_,4510,0.1328811856317508
1070,8150,filledasianwhite_,4610,0.1312883435582822
1085,8335,filledasianwhite_,4710,0.13017396520695862
1102,8518,filledasianwhite_,4810,0.12937309227518196
1119,8701,filledasianwhite_,4910,0.1286059073669693
