size intersection,size union,state,k,mean JI
4,16,filledfemalemale_,10,0.25
53,167,filledfemalemale_,110,0.31736526946107785
95,325,filledfemalemale_,210,0.2923076923076923
145,475,filledfemalemale_,310,0.30526315789473685
185,635,filledfemalemale_,410,0.29133858267716534
226,794,filledfemalemale_,510,0.28463476070528965
256,964,filledfemalemale_,610,0.26556016597510373
301,1119,filledfemalemale_,710,0.26899016979445933
337,1283,filledfemalemale_,810,0.2626656274356976
374,1446,filledfemalemale_,910,0.25864453665283543
404,1616,filledfemalemale_,1010,0.25
434,1786,filledfemalemale_,1110,0.24300111982082867
465,1955,filledfemalemale_,1210,0.23785166240409208
499,2121,filledfemalemale_,1310,0.23526638378123527
535,2285,filledfemalemale_,1410,0.23413566739606126
571,2449,filledfemalemale_,1510,0.23315639036341365
599,2621,filledfemalemale_,1610,0.22853872567722244
634,2786,filledfemalemale_,1710,0.22756640344580042
664,2956,filledfemalemale_,1810,0.22462787550744248
694,3126,filledfemalemale_,1910,0.2220089571337172
723,3297,filledfemalemale_,2010,0.21929026387625114
750,3470,filledfemalemale_,2110,0.21613832853025935
777,3643,filledfemalemale_,2210,0.21328575349986276
815,3805,filledfemalemale_,2310,0.21419185282522996
849,3971,filledfemalemale_,2410,0.21380005036514732
889,4131,filledfemalemale_,2510,0.21520213023480997
928,4292,filledfemalemale_,2610,0.21621621621621623
960,4460,filledfemalemale_,2710,0.21524663677130046
999,4621,filledfemalemale_,2810,0.21618697251677127
1032,4788,filledfemalemale_,2910,0.21553884711779447
1059,4961,filledfemalemale_,3010,0.2134650272122556
1088,5132,filledfemalemale_,3110,0.21200311769290725
1115,5305,filledfemalemale_,3210,0.21017907634307256
1143,5477,filledfemalemale_,3310,0.20869088917290488
1178,5642,filledfemalemale_,3410,0.2087912087912088
1209,5811,filledfemalemale_,3510,0.2080536912751678
1234,5986,filledfemalemale_,3610,0.2061476779151353
1267,6153,filledfemalemale_,3710,0.20591581342434584
1294,6326,filledfemalemale_,3810,0.2045526398988302
1313,6507,filledfemalemale_,3910,0.20178269555862915
1343,6677,filledfemalemale_,4010,0.20113823573461134
1372,6848,filledfemalemale_,4110,0.2003504672897196
1410,7010,filledfemalemale_,4210,0.20114122681883023
1437,7183,filledfemalemale_,4310,0.20005568703884172
1465,7355,filledfemalemale_,4410,0.1991842284160435
1488,7532,filledfemalemale_,4510,0.1975570897503983
1511,7709,filledfemalemale_,4610,0.19600466986638992
1535,7885,filledfemalemale_,4710,0.1946734305643627
1563,8057,filledfemalemale_,4810,0.19399280129080304
1595,8225,filledfemalemale_,4910,0.1939209726443769
