size intersection,size union,state,k,mean JI
4,16,filledlowerupper_,10,0.25
42,178,filledlowerupper_,110,0.23595505617977527
72,348,filledlowerupper_,210,0.20689655172413793
93,527,filledlowerupper_,310,0.17647058823529413
117,703,filledlowerupper_,410,0.16642958748221906
140,880,filledlowerupper_,510,0.1590909090909091
160,1060,filledlowerupper_,610,0.1509433962264151
184,1236,filledlowerupper_,710,0.1488673139158576
209,1411,filledlowerupper_,810,0.1481218993621545
225,1595,filledlowerupper_,910,0.14106583072100312
245,1775,filledlowerupper_,1010,0.13802816901408452
277,1943,filledlowerupper_,1110,0.14256304683479157
297,2123,filledlowerupper_,1210,0.13989637305699482
316,2304,filledlowerupper_,1310,0.1371527777777778
337,2483,filledlowerupper_,1410,0.13572291582762788
362,2658,filledlowerupper_,1510,0.1361926260346125
380,2840,filledlowerupper_,1610,0.13380281690140844
402,3018,filledlowerupper_,1710,0.13320079522862824
421,3199,filledlowerupper_,1810,0.13160362613316662
444,3376,filledlowerupper_,1910,0.13151658767772512
463,3557,filledlowerupper_,2010,0.13016587011526567
472,3748,filledlowerupper_,2110,0.12593383137673425
489,3931,filledlowerupper_,2210,0.12439582803357924
511,4109,filledlowerupper_,2310,0.12436115843270869
531,4289,filledlowerupper_,2410,0.12380508276987642
552,4468,filledlowerupper_,2510,0.12354521038495972
568,4652,filledlowerupper_,2610,0.12209802235597593
588,4832,filledlowerupper_,2710,0.1216887417218543
608,5012,filledlowerupper_,2810,0.12130885873902633
623,5197,filledlowerupper_,2910,0.11987685203001731
648,5372,filledlowerupper_,3010,0.12062546537602382
669,5551,filledlowerupper_,3110,0.12051882543685823
696,5724,filledlowerupper_,3210,0.12159329140461216
718,5902,filledlowerupper_,3310,0.12165367671975602
733,6087,filledlowerupper_,3410,0.12042056842451125
747,6273,filledlowerupper_,3510,0.11908177905308465
762,6458,filledlowerupper_,3610,0.11799318674512232
777,6643,filledlowerupper_,3710,0.11696522655426765
789,6831,filledlowerupper_,3810,0.11550285463328941
801,7019,filledlowerupper_,3910,0.11411882034477845
815,7205,filledlowerupper_,4010,0.11311589174184594
831,7389,filledlowerupper_,4110,0.11246447421843281
844,7576,filledlowerupper_,4210,0.11140443505807814
863,7757,filledlowerupper_,4310,0.11125435090885652
877,7943,filledlowerupper_,4410,0.11041168324310714
893,8127,filledlowerupper_,4510,0.1098806447643657
921,8299,filledlowerupper_,4610,0.11097722617182793
930,8490,filledlowerupper_,4710,0.10954063604240283
949,8671,filledlowerupper_,4810,0.10944527736131934
969,8851,filledlowerupper_,4910,0.10947915489775166
