size intersection,size union,state,k,mean JI
3,17,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.09586056644880174
41,179,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.1696347437398811
90,330,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.17013836487722325
134,486,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.17415275940432204
175,645,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.1748598405435414
212,808,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.1786782932042897
243,977,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.17435085045391563
274,1146,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.16744078157300848
307,1313,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.16289917266992696
339,1481,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.16375382824377624
374,1646,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.1633096471186072
408,1812,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.1633286729823843
442,1978,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.16053260778806824
470,2150,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.1571885723945092
505,2315,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.15645726451255476
525,2495,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.1535205658997919
552,2668,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.15122993487452266
582,2838,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.14842754257747168
602,3018,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.14519505717240358
628,3192,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.14458274688031478
655,3365,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.14343599139860919
686,3534,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.14185951152594806
711,3709,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.13979572453964334
735,3885,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.13781231001203792
752,4068,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.13592392823720412
774,4246,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.13342514309957043
805,4415,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.1319237761971551
832,4588,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.13140319438426104
851,4769,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.12939285733163217
876,4944,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.12807436647244586
890,5130,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.1264046476306237
924,5296,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.1269079383223828
942,5478,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.12561403280208705
970,5650,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.12644247957851026
996,5824,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.1252310426024278
1019,6001,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.12498370032411486
1046,6174,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.12495927256424429
1072,6348,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.12459655128196152
1093,6527,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.12396493315592767
1109,6711,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.12240190294447266
1128,6892,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.12118445521148963
1147,7073,emptystage i_emptystage i_filledstage iistage iii_,4110,0.12008651752086559
1171,7249,emptystage i_emptystage i_filledstage iistage iii_,4210,0.11943513397940546
1190,7430,emptystage i_emptystage i_filledstage iistage iii_,4310,0.11879077894493018
1203,7617,emptystage i_emptystage i_filledstage iistage iii_,4410,0.11757682735935547
1218,7802,emptystage i_emptystage i_filledstage iistage iii_,4510,0.11642065042248528
1232,7988,emptystage i_emptystage i_filledstage iistage iii_,4610,0.11530145291130772
1262,8158,emptystage i_emptystage i_filledstage iistage iii_,4710,0.11492973354572687
1278,8342,emptystage i_emptystage i_filledstage iistage iii_,4810,0.11405079006608106
1295,8525,emptystage i_emptystage i_filledstage iistage iii_,4910,0.11352338164260127
