size intersection,size union,state,k,mean JI
3,17,filledasianwhite_,10,0.17647058823529413
41,179,filledasianwhite_,110,0.22905027932960895
85,335,filledasianwhite_,210,0.2537313432835821
116,504,filledasianwhite_,310,0.23015873015873015
155,665,filledasianwhite_,410,0.23308270676691728
184,836,filledasianwhite_,510,0.22009569377990432
210,1010,filledasianwhite_,610,0.2079207920792079
235,1185,filledasianwhite_,710,0.19831223628691982
262,1358,filledasianwhite_,810,0.19293078055964655
288,1532,filledasianwhite_,910,0.18798955613577023
316,1704,filledasianwhite_,1010,0.18544600938967137
344,1876,filledasianwhite_,1110,0.18336886993603413
372,2048,filledasianwhite_,1210,0.181640625
399,2221,filledasianwhite_,1310,0.17964880684376408
427,2393,filledasianwhite_,1410,0.17843710823234435
457,2563,filledasianwhite_,1510,0.17830667186890362
476,2744,filledasianwhite_,1610,0.17346938775510204
506,2914,filledasianwhite_,1710,0.17364447494852436
528,3092,filledasianwhite_,1810,0.17076326002587322
560,3260,filledasianwhite_,1910,0.17177914110429449
584,3436,filledasianwhite_,2010,0.16996507566938301
614,3606,filledasianwhite_,2110,0.17027176927343315
626,3794,filledasianwhite_,2210,0.16499736425935688
644,3976,filledasianwhite_,2310,0.1619718309859155
665,4155,filledasianwhite_,2410,0.16004813477737664
692,4328,filledasianwhite_,2510,0.1598890942698706
716,4504,filledasianwhite_,2610,0.15896980461811722
745,4675,filledasianwhite_,2710,0.15935828877005348
760,4860,filledasianwhite_,2810,0.15637860082304528
776,5044,filledasianwhite_,2910,0.15384615384615385
794,5226,filledasianwhite_,3010,0.1519326444699579
816,5404,filledasianwhite_,3110,0.15099925980754997
842,5578,filledasianwhite_,3210,0.15095016134815345
866,5754,filledasianwhite_,3310,0.1505039972193257
883,5937,filledasianwhite_,3410,0.14872831396328112
909,6111,filledasianwhite_,3510,0.1487481590574374
931,6289,filledasianwhite_,3610,0.14803625377643503
946,6474,filledasianwhite_,3710,0.146122953351869
968,6652,filledasianwhite_,3810,0.1455201443174985
979,6841,filledasianwhite_,3910,0.14310773278760416
1001,7019,filledasianwhite_,4010,0.142612907821627
1021,7199,filledasianwhite_,4110,0.14182525350743158
1042,7378,filledasianwhite_,4210,0.1412306858227162
1058,7562,filledasianwhite_,4310,0.1399100766992859
1073,7747,filledasianwhite_,4410,0.13850522783012778
1097,7923,filledasianwhite_,4510,0.13845765492868864
1120,8100,filledasianwhite_,4610,0.1382716049382716
1134,8286,filledasianwhite_,4710,0.13685734974656047
1148,8472,filledasianwhite_,4810,0.13550519357884797
1157,8663,filledasianwhite_,4910,0.13355650467505484
