size intersection,size union,state,k,mean JI
8,12,filledlowerupper_,10,0.6666666666666666
84,136,filledlowerupper_,110,0.6176470588235294
155,265,filledlowerupper_,210,0.5849056603773585
227,393,filledlowerupper_,310,0.5776081424936387
283,537,filledlowerupper_,410,0.527001862197393
349,671,filledlowerupper_,510,0.5201192250372578
416,804,filledlowerupper_,610,0.5174129353233831
483,937,filledlowerupper_,710,0.5154749199573105
562,1058,filledlowerupper_,810,0.5311909262759924
619,1201,filledlowerupper_,910,0.5154038301415487
681,1339,filledlowerupper_,1010,0.508588498879761
749,1471,filledlowerupper_,1110,0.5091774303195106
807,1613,filledlowerupper_,1210,0.5003099814011159
872,1748,filledlowerupper_,1310,0.4988558352402746
945,1875,filledlowerupper_,1410,0.504
1015,2005,filledlowerupper_,1510,0.5062344139650873
1086,2134,filledlowerupper_,1610,0.5089034676663543
1163,2257,filledlowerupper_,1710,0.5152857775808596
1231,2389,filledlowerupper_,1810,0.5152783591460862
1298,2522,filledlowerupper_,1910,0.514670896114195
1368,2652,filledlowerupper_,2010,0.5158371040723982
1453,2767,filledlowerupper_,2110,0.5251174557282255
1530,2890,filledlowerupper_,2210,0.5294117647058824
1592,3028,filledlowerupper_,2310,0.5257595772787318
1652,3168,filledlowerupper_,2410,0.5214646464646465
1728,3292,filledlowerupper_,2510,0.5249088699878494
1805,3415,filledlowerupper_,2610,0.5285505124450952
1873,3547,filledlowerupper_,2710,0.5280518748237948
1949,3671,filledlowerupper_,2810,0.5309180059929175
2025,3795,filledlowerupper_,2910,0.5335968379446641
2102,3918,filledlowerupper_,3010,0.5364982133741705
2168,4052,filledlowerupper_,3110,0.5350444225074038
2241,4179,filledlowerupper_,3210,0.5362526920315865
2299,4321,filledlowerupper_,3310,0.532052765563527
2367,4453,filledlowerupper_,3410,0.5315517628565012
2437,4583,filledlowerupper_,3510,0.5317477634737072
2500,4720,filledlowerupper_,3610,0.5296610169491526
2572,4848,filledlowerupper_,3710,0.5305280528052805
2645,4975,filledlowerupper_,3810,0.5316582914572864
2726,5094,filledlowerupper_,3910,0.5351393796623478
2793,5227,filledlowerupper_,4010,0.5343409221350679
2872,5348,filledlowerupper_,4110,0.537023186237846
2948,5472,filledlowerupper_,4210,0.5387426900584795
3020,5600,filledlowerupper_,4310,0.5392857142857143
3082,5738,filledlowerupper_,4410,0.537120948065528
3149,5871,filledlowerupper_,4510,0.5363651848066768
3221,5999,filledlowerupper_,4610,0.5369228204700783
3293,6127,filledlowerupper_,4710,0.5374571568467439
3371,6249,filledlowerupper_,4810,0.5394463114098256
3452,6368,filledlowerupper_,4910,0.5420854271356784
