size intersection,size union,state,k,mean JI
6,14,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.28501400560224094
73,147,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.2608995015010052
141,279,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.2606888791743886
208,412,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.2511391642795879
279,541,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.2500368091485505
344,676,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.2457489057338719
433,787,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.25681898565609
494,926,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.25540540770301146
558,1062,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.25101752328075483
636,1184,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.25563551541473234
716,1304,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.26390177064684744
795,1425,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.26584754468563826
857,1563,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.26285987581307046
930,1690,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.26369788435259794
998,1822,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.2635986036888085
1076,1944,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.2657360044875024
1144,2076,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.26512773721807864
1219,2201,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.26796464827516303
1292,2328,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.26945516330303115
1380,2440,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.2725471469577838
1452,2568,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.2724112080093438
1540,2680,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.27732240873110964
1617,2803,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.27907040925505916
1704,2916,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.28127983950770585
1792,3028,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.28385654858276954
1861,3159,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.2838033986948942
1929,3291,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.28335537231397173
2000,3420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.2828567440595427
2072,3548,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.28460479313747866
2144,3676,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.28675438060359987
2213,3807,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.2877147906295927
2285,3935,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.2879689714906209
2347,4073,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.2867804297354653
2421,4199,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.28881616074664646
2487,4333,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.2881008715716715
2557,4463,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.28908427141114573
2619,4601,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.2875855983926791
2685,4735,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.28702793695977774
2768,4852,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.2890193674946936
2839,4981,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.289991425493253
2917,5103,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.29125004960183504
2979,5241,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.29068757844148446
3041,5379,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.2897352433277443
3113,5507,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.2899304089773111
3196,5624,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.2915899463572251
3263,5757,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.2908393319179429
3334,5886,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.29105415711824084
3410,6010,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.29160027457423543
3472,6148,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.2911642421773642
3549,6271,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.29226704644723683
