size intersection,size union,state,k,mean JI
7,13,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.46520146520146516
73,147,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.4905816127620639
139,281,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.4912408254401741
194,426,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.4776000636587889
257,563,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.47226052669315477
314,706,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.4699668476121292
387,833,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.47168262555928914
451,969,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.473629344228625
510,1110,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.46786851652889466
585,1235,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.4729304697062156
657,1363,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.4730681038451043
724,1496,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.470622127448107
777,1643,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.47089393758527404
840,1780,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.47611935283882567
898,1922,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.47441209144027857
967,2053,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.47487348728196094
1045,2175,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.4816043728813706
1111,2309,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.479500210038548
1185,2435,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.4836603993381749
1270,2550,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.48916589277512296
1347,2673,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.49430464234517774
1414,2806,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.49159977816306927
1471,2949,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.49262247975197315
1544,3076,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.49664380139212055
1620,3200,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.49912638570016227
1686,3334,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.4979702751176934
1759,3461,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.501346410982496
1840,3580,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.5036638303827758
1909,3711,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.5060841725365893
1966,3854,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.5043227712860708
2031,3989,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.5028171490650358
2113,4107,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.5040714279797546
2184,4236,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.5061689419728772
2242,4378,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.5068675443244236
2312,4508,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.5053464475961968
2378,4642,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.5046572739180509
2455,4765,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.5063227858772678
2519,4901,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.5066616856274277
2600,5020,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.5093845189216465
2655,5165,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.5085473889267843
2723,5297,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.508609436162701
2801,5419,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.5104669676285928
2872,5548,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.5096658773289094
2946,5674,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.5101411817180037
3029,5791,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.5119964966568219
3101,5919,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.5123362453198347
3169,6051,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.5122200183759481
3233,6187,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.512430427982547
3303,6317,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.5124887086266963
3369,6451,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.5116133330947632
