size intersection,size union,state,k,mean JI
5,15,filledlowerupper_,10,0.3333333333333333
56,164,filledlowerupper_,110,0.34146341463414637
103,317,filledlowerupper_,210,0.3249211356466877
145,475,filledlowerupper_,310,0.30526315789473685
197,623,filledlowerupper_,410,0.3162118780096308
249,771,filledlowerupper_,510,0.3229571984435798
298,922,filledlowerupper_,610,0.3232104121475054
341,1079,filledlowerupper_,710,0.3160333642261353
387,1233,filledlowerupper_,810,0.31386861313868614
428,1392,filledlowerupper_,910,0.3074712643678161
466,1554,filledlowerupper_,1010,0.29987129987129985
506,1714,filledlowerupper_,1110,0.2952158693115519
541,1879,filledlowerupper_,1210,0.28791910590739755
574,2046,filledlowerupper_,1310,0.2805474095796676
616,2204,filledlowerupper_,1410,0.279491833030853
669,2351,filledlowerupper_,1510,0.28455976180348785
708,2512,filledlowerupper_,1610,0.2818471337579618
759,2661,filledlowerupper_,1710,0.2852311161217587
794,2826,filledlowerupper_,1810,0.28096249115357397
833,2987,filledlowerupper_,1910,0.2788751255440241
873,3147,filledlowerupper_,2010,0.27740705433746427
916,3304,filledlowerupper_,2110,0.2772397094430993
958,3462,filledlowerupper_,2210,0.27671865973425763
1010,3610,filledlowerupper_,2310,0.27977839335180055
1054,3766,filledlowerupper_,2410,0.27987254381306426
1101,3919,filledlowerupper_,2510,0.2809390150548609
1150,4070,filledlowerupper_,2610,0.28255528255528256
1190,4230,filledlowerupper_,2710,0.28132387706855794
1234,4386,filledlowerupper_,2810,0.2813497492020064
1287,4533,filledlowerupper_,2910,0.28391793514228986
1323,4697,filledlowerupper_,3010,0.2816691505216095
1367,4853,filledlowerupper_,3110,0.28168143416443436
1412,5008,filledlowerupper_,3210,0.2819488817891374
1445,5175,filledlowerupper_,3310,0.2792270531400966
1485,5335,filledlowerupper_,3410,0.27835051546391754
1523,5497,filledlowerupper_,3510,0.2770602146625432
1561,5659,filledlowerupper_,3610,0.27584378865523945
1597,5823,filledlowerupper_,3710,0.27425725571011506
1636,5984,filledlowerupper_,3810,0.2733957219251337
1676,6144,filledlowerupper_,3910,0.2727864583333333
1724,6296,filledlowerupper_,4010,0.2738246505717916
1761,6459,filledlowerupper_,4110,0.2726428239665583
1791,6629,filledlowerupper_,4210,0.27017649720923215
1828,6792,filledlowerupper_,4310,0.26914016489988224
1876,6944,filledlowerupper_,4410,0.2701612903225806
1918,7102,filledlowerupper_,4510,0.2700647704871867
1959,7261,filledlowerupper_,4610,0.2697975485470321
2000,7420,filledlowerupper_,4710,0.2695417789757412
2039,7581,filledlowerupper_,4810,0.26896187838016095
2070,7750,filledlowerupper_,4910,0.2670967741935484
