size intersection,size union,state,k,mean JI
3,17,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.09391124871001033
25,195,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.10582553625353834
57,363,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.1325327934088868
79,541,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.12609810426792575
108,712,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.12867813575866946
136,884,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.13641402490932755
165,1055,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.14242052417218423
190,1230,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.1440890151898617
213,1407,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.14533790043544423
236,1584,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.14557590132302775
260,1760,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.1479496502141576
281,1939,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.14693899686612596
302,2118,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.1453609224715264
334,2286,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.14518942922843503
359,2461,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.145050872046668
383,2637,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.14580534566153625
416,2804,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.14684545438022123
449,2971,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.14685164526464292
471,3149,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.14732911947275493
501,3319,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.14734989184219163
531,3489,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.14779837376626626
571,3649,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.14922608488477218
596,3824,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.14910923609019913
624,3996,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.14894025929024843
658,4162,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.14816185493151326
696,4324,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.14893822034669799
736,4484,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.1503857221412566
770,4650,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.15027893994832184
796,4824,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.15038796312780792
829,4991,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.15074695061706703
862,5158,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.1515225982478071
896,5324,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.15232258306426413
930,5490,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.15237573534350582
951,5669,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.1521317029389666
984,5836,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.15270331843392748
1011,6009,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.15217249244292322
1041,6179,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.15126288363113402
1076,6344,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.15123414101530985
1111,6509,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.1518296343154047
1145,6675,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.1523968928628393
1180,6840,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.1532095909583291
1209,7011,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.1527445623421617
1244,7176,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.1527884293453261
1277,7343,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.15312300644158688
1311,7509,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.153304370843758
1351,7669,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.15368049044183787
1383,7837,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.15411676326912224
1416,8004,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.15384751360648974
1457,8163,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.1542883354408575
1494,8326,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.15430472793708805
