size intersection,size union,state,k,mean JI
1,19,filledblack or african americanwhite_,10,0.05263157894736842
71,149,filledblack or african americanwhite_,110,0.47651006711409394
125,295,filledblack or african americanwhite_,210,0.423728813559322
191,429,filledblack or african americanwhite_,310,0.44522144522144524
247,573,filledblack or african americanwhite_,410,0.43106457242582896
315,705,filledblack or african americanwhite_,510,0.44680851063829785
375,845,filledblack or african americanwhite_,610,0.4437869822485207
417,1003,filledblack or african americanwhite_,710,0.41575274177467597
477,1143,filledblack or african americanwhite_,810,0.41732283464566927
525,1295,filledblack or african americanwhite_,910,0.40540540540540543
581,1439,filledblack or african americanwhite_,1010,0.40375260597637247
640,1580,filledblack or african americanwhite_,1110,0.4050632911392405
701,1719,filledblack or african americanwhite_,1210,0.4077952297847586
752,1868,filledblack or african americanwhite_,1310,0.4025695931477516
814,2006,filledblack or african americanwhite_,1410,0.4057826520438684
873,2147,filledblack or african americanwhite_,1510,0.40661387983232417
931,2289,filledblack or african americanwhite_,1610,0.40672782874617736
1001,2419,filledblack or african americanwhite_,1710,0.41380735841256716
1058,2562,filledblack or african americanwhite_,1810,0.4129586260733802
1120,2700,filledblack or african americanwhite_,1910,0.4148148148148148
1181,2839,filledblack or african americanwhite_,2010,0.41599154631912644
1251,2969,filledblack or african americanwhite_,2110,0.42135399124284273
1325,3095,filledblack or african americanwhite_,2210,0.4281098546042003
1396,3224,filledblack or african americanwhite_,2310,0.43300248138957814
1457,3363,filledblack or african americanwhite_,2410,0.43324412726732087
1515,3505,filledblack or african americanwhite_,2510,0.4322396576319544
1586,3634,filledblack or african americanwhite_,2610,0.4364336818932306
1643,3777,filledblack or african americanwhite_,2710,0.4350013238019592
1710,3910,filledblack or african americanwhite_,2810,0.4373401534526854
1774,4046,filledblack or african americanwhite_,2910,0.4384577360355907
1829,4191,filledblack or african americanwhite_,3010,0.4364113576712002
1891,4329,filledblack or african americanwhite_,3110,0.4368214368214368
1954,4466,filledblack or african americanwhite_,3210,0.43752798925212716
2018,4602,filledblack or african americanwhite_,3310,0.43850499782703173
2073,4747,filledblack or african americanwhite_,3410,0.43669686117547923
2127,4893,filledblack or african americanwhite_,3510,0.4347026364193746
2183,5037,filledblack or african americanwhite_,3610,0.4333928925947985
2231,5189,filledblack or african americanwhite_,3710,0.42994796685295816
2285,5335,filledblack or african americanwhite_,3810,0.42830365510777885
2349,5471,filledblack or african americanwhite_,3910,0.42935477974776093
2405,5615,filledblack or african americanwhite_,4010,0.42831700801424755
2464,5756,filledblack or african americanwhite_,4110,0.42807505211952745
2524,5896,filledblack or african americanwhite_,4210,0.4280868385345997
2588,6032,filledblack or african americanwhite_,4310,0.4290450928381963
2651,6169,filledblack or african americanwhite_,4410,0.4297292916193873
2702,6318,filledblack or african americanwhite_,4510,0.42766698322253877
2758,6462,filledblack or african americanwhite_,4610,0.42680284741566077
2819,6601,filledblack or african americanwhite_,4710,0.4270565065899106
2890,6730,filledblack or african americanwhite_,4810,0.4294205052005943
2950,6870,filledblack or african americanwhite_,4910,0.4294032023289665
