size intersection,size union,state,k,mean JI
3,17,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.15468409586056645
63,157,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.38736404623138077
131,289,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.4435131498280287
198,422,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.4674252120983979
277,543,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.48588479832566184
343,677,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.47584258056203915
417,803,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.4764979011438612
498,922,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.4854162094604268
562,1058,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.48122761537361786
624,1196,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.4802488736904955
712,1308,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.4881586816937316
784,1436,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.48422885818818306
859,1561,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.48344415683583275
933,1687,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.48142409239340367
1010,1810,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.48423520282371046
1077,1943,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.4826105559629474
1131,2089,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.4788952830752989
1202,2218,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.480579674740414
1275,2345,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.4782687657444309
1343,2477,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.47484648543717184
1409,2611,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.47359366548484944
1465,2755,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.46993125008418996
1544,2876,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.47202410864873845
1608,3012,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.4704436782529846
1672,3148,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.4681423230630027
1737,3283,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.46792556577902444
1796,3424,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.4665633967904801
1865,3555,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.4666531833933152
1916,3704,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.4633581842576822
1989,3831,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.46261210259020497
2058,3962,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.4622488135998641
2126,4094,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.46410687811579693
2191,4229,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.4621922238902474
2249,4371,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.4596477328875726
2313,4507,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.4582418335808978
2377,4643,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.4572395546302348
2441,4779,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.45646382301350835
2497,4923,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.45477365995653246
2545,5075,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.4525854359512625
2608,5212,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.4522500394114816
2664,5356,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.4502344048386247
2724,5496,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.44951008459627007
2801,5619,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.45137919043342456
2870,5750,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.4523843615831226
2933,5887,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.4521711321653734
2999,6021,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.4526511769337033
3059,6161,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.4521373083170423
3125,6295,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.45245326465202257
3209,6411,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.45457368154560446
3270,6550,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.4538849003992021
