size intersection,size union,state,k,mean JI
4,16,filledlowerupper_,10,0.25
21,199,filledlowerupper_,110,0.10552763819095477
51,369,filledlowerupper_,210,0.13821138211382114
95,525,filledlowerupper_,310,0.18095238095238095
140,680,filledlowerupper_,410,0.20588235294117646
185,835,filledlowerupper_,510,0.2215568862275449
229,991,filledlowerupper_,610,0.23107971745711403
272,1148,filledlowerupper_,710,0.23693379790940766
317,1303,filledlowerupper_,810,0.24328472755180353
366,1454,filledlowerupper_,910,0.2517193947730399
411,1609,filledlowerupper_,1010,0.2554381603480423
472,1748,filledlowerupper_,1110,0.2700228832951945
525,1895,filledlowerupper_,1210,0.2770448548812665
580,2040,filledlowerupper_,1310,0.28431372549019607
616,2204,filledlowerupper_,1410,0.279491833030853
677,2343,filledlowerupper_,1510,0.28894579598804954
730,2490,filledlowerupper_,1610,0.2931726907630522
781,2639,filledlowerupper_,1710,0.2959454338764684
836,2784,filledlowerupper_,1810,0.30028735632183906
881,2939,filledlowerupper_,1910,0.29976182374957466
936,3084,filledlowerupper_,2010,0.3035019455252918
981,3239,filledlowerupper_,2110,0.3028712565606669
1024,3396,filledlowerupper_,2210,0.30153121319199055
1067,3553,filledlowerupper_,2310,0.30030959752321984
1115,3705,filledlowerupper_,2410,0.300944669365722
1163,3857,filledlowerupper_,2510,0.3015296862846772
1222,3998,filledlowerupper_,2610,0.3056528264132066
1279,4141,filledlowerupper_,2710,0.3088625935764308
1324,4296,filledlowerupper_,2810,0.30819366852886404
1366,4454,filledlowerupper_,2910,0.3066906151773687
1421,4599,filledlowerupper_,3010,0.3089802130898021
1470,4750,filledlowerupper_,3110,0.3094736842105263
1522,4898,filledlowerupper_,3210,0.3107390771743569
1562,5058,filledlowerupper_,3310,0.3088177145116647
1614,5206,filledlowerupper_,3410,0.31002689204763734
1669,5351,filledlowerupper_,3510,0.3119043169501028
1723,5497,filledlowerupper_,3610,0.31344369656176096
1767,5653,filledlowerupper_,3710,0.3125773925349372
1811,5809,filledlowerupper_,3810,0.31175761749010156
1855,5965,filledlowerupper_,3910,0.3109807208717519
1919,6101,filledlowerupper_,4010,0.31453860022947056
1972,6248,filledlowerupper_,4110,0.31562099871959026
2018,6402,filledlowerupper_,4210,0.31521399562636676
2064,6556,filledlowerupper_,4310,0.3148261134838316
2100,6720,filledlowerupper_,4410,0.3125
2144,6876,filledlowerupper_,4510,0.31180919139034324
2198,7022,filledlowerupper_,4610,0.31301623469097123
2247,7173,filledlowerupper_,4710,0.31325805102467585
2296,7324,filledlowerupper_,4810,0.3134898962315674
2350,7470,filledlowerupper_,4910,0.31459170013386883
