size intersection,size union,state,k,mean JI
6,14,filledfemalemale_,10,0.42857142857142855
67,153,filledfemalemale_,110,0.43790849673202614
140,280,filledfemalemale_,210,0.5
205,415,filledfemalemale_,310,0.4939759036144578
281,539,filledfemalemale_,410,0.5213358070500927
349,671,filledfemalemale_,510,0.5201192250372578
430,790,filledfemalemale_,610,0.5443037974683544
506,914,filledfemalemale_,710,0.5536105032822757
572,1048,filledfemalemale_,810,0.5458015267175572
644,1176,filledfemalemale_,910,0.5476190476190477
711,1309,filledfemalemale_,1010,0.5431627196333079
783,1437,filledfemalemale_,1110,0.5448851774530271
852,1568,filledfemalemale_,1210,0.5433673469387755
923,1697,filledfemalemale_,1310,0.5439010017678255
1002,1818,filledfemalemale_,1410,0.5511551155115512
1060,1960,filledfemalemale_,1510,0.5408163265306123
1128,2092,filledfemalemale_,1610,0.5391969407265774
1193,2227,filledfemalemale_,1710,0.5356982487651549
1255,2365,filledfemalemale_,1810,0.5306553911205074
1339,2481,filledfemalemale_,1910,0.539701733172108
1413,2607,filledfemalemale_,2010,0.5420023014959724
1476,2744,filledfemalemale_,2110,0.5379008746355685
1526,2894,filledfemalemale_,2210,0.5272978576364893
1595,3025,filledfemalemale_,2310,0.5272727272727272
1671,3149,filledfemalemale_,2410,0.5306446490949508
1726,3294,filledfemalemale_,2510,0.5239829993928354
1805,3415,filledfemalemale_,2610,0.5285505124450952
1862,3558,filledfemalemale_,2710,0.523327712197864
1934,3686,filledfemalemale_,2810,0.5246880086814976
2005,3815,filledfemalemale_,2910,0.5255570117955439
2065,3955,filledfemalemale_,3010,0.5221238938053098
2123,4097,filledfemalemale_,3110,0.5181840371003174
2199,4221,filledfemalemale_,3210,0.5209665955934613
2272,4348,filledfemalemale_,3310,0.5225390984360626
2324,4496,filledfemalemale_,3410,0.5169039145907474
2400,4620,filledfemalemale_,3510,0.5194805194805194
2466,4754,filledfemalemale_,3610,0.5187210769877998
2523,4897,filledfemalemale_,3710,0.5152133959567082
2601,5019,filledfemalemale_,3810,0.5182307232516438
2669,5151,filledfemalemale_,3910,0.5181518151815182
2736,5284,filledfemalemale_,4010,0.5177895533686601
2803,5417,filledfemalemale_,4110,0.5174450803027506
2873,5547,filledfemalemale_,4210,0.517937623940869
2940,5680,filledfemalemale_,4310,0.5176056338028169
3010,5810,filledfemalemale_,4410,0.5180722891566265
3090,5930,filledfemalemale_,4510,0.521079258010118
3157,6063,filledfemalemale_,4610,0.520699323767112
3222,6198,filledfemalemale_,4710,0.5198451113262342
3297,6323,filledfemalemale_,4810,0.5214297010912542
3366,6454,filledfemalemale_,4910,0.5215370312984196
