size intersection,size union,state,k,mean JI
1,19,filledlowerupper_,10,0.05263157894736842
27,193,filledlowerupper_,110,0.13989637305699482
57,363,filledlowerupper_,210,0.15702479338842976
83,537,filledlowerupper_,310,0.15456238361266295
112,708,filledlowerupper_,410,0.15819209039548024
138,882,filledlowerupper_,510,0.1564625850340136
167,1053,filledlowerupper_,610,0.15859449192782527
201,1219,filledlowerupper_,710,0.16488925348646433
228,1392,filledlowerupper_,810,0.16379310344827586
250,1570,filledlowerupper_,910,0.1592356687898089
279,1741,filledlowerupper_,1010,0.16025272831705917
310,1910,filledlowerupper_,1110,0.16230366492146597
343,2077,filledlowerupper_,1210,0.16514203177660086
373,2247,filledlowerupper_,1310,0.16599910992434358
402,2418,filledlowerupper_,1410,0.1662531017369727
438,2582,filledlowerupper_,1510,0.16963594113090627
460,2760,filledlowerupper_,1610,0.16666666666666666
491,2929,filledlowerupper_,1710,0.16763400477978832
524,3096,filledlowerupper_,1810,0.16925064599483206
556,3264,filledlowerupper_,1910,0.17034313725490197
584,3436,filledlowerupper_,2010,0.16996507566938301
618,3602,filledlowerupper_,2110,0.17157134925041642
651,3769,filledlowerupper_,2210,0.1727248607057575
686,3934,filledlowerupper_,2310,0.17437722419928825
723,4097,filledlowerupper_,2410,0.17647058823529413
754,4266,filledlowerupper_,2510,0.17674636661978435
790,4430,filledlowerupper_,2610,0.17832957110609482
823,4597,filledlowerupper_,2710,0.17902980204481184
866,4754,filledlowerupper_,2810,0.18216238956668068
894,4926,filledlowerupper_,2910,0.1814859926918392
925,5095,filledlowerupper_,3010,0.1815505397448479
963,5257,filledlowerupper_,3110,0.18318432566102338
1004,5416,filledlowerupper_,3210,0.18537666174298376
1034,5586,filledlowerupper_,3310,0.18510562119584675
1072,5748,filledlowerupper_,3410,0.18649965205288796
1107,5913,filledlowerupper_,3510,0.1872146118721461
1140,6080,filledlowerupper_,3610,0.1875
1173,6247,filledlowerupper_,3710,0.18777012966223788
1204,6416,filledlowerupper_,3810,0.18765586034912718
1229,6591,filledlowerupper_,3910,0.18646639356698527
1255,6765,filledlowerupper_,4010,0.18551367331855137
1293,6927,filledlowerupper_,4110,0.1866608921611087
1327,7093,filledlowerupper_,4210,0.18708585929789934
1353,7267,filledlowerupper_,4310,0.18618411999449566
1382,7438,filledlowerupper_,4410,0.18580263511696693
1415,7605,filledlowerupper_,4510,0.18606180144641682
1455,7765,filledlowerupper_,4610,0.18737926593689633
1487,7933,filledlowerupper_,4710,0.18744485062397578
1521,8099,filledlowerupper_,4810,0.18780096308186195
1562,8258,filledlowerupper_,4910,0.18914991523371277
