size intersection,size union,state,k,mean JI
3,17,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.17919389978213507
61,159,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.27605589711047196
135,285,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.32831515726252564
219,401,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.3624047676806053
300,520,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.3745759987139297
374,646,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.3898666849541927
456,764,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.4045359217556692
534,886,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.4083543612897978
612,1008,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.411982178405536
699,1121,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.4216982043258321
781,1239,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.42796687102353853
872,1348,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.4325463482848737
961,1459,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.4345059212810278
1053,1567,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.441760854977539
1126,1694,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.44072235339866755
1207,1813,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.4403062248085729
1287,1933,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.4405458628358083
1363,2057,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.43834531054846454
1443,2177,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.4402842784960687
1520,2300,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.4410204818659063
1607,2413,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.44280831956594446
1687,2533,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.4420686256005483
1762,2658,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.4415161806749282
1833,2787,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.44128343131572406
1923,2897,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.4444236069885541
1985,3035,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.44104372944547227
2063,3157,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.4401288011972788
2139,3281,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.4382933514417475
2203,3417,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.4356268963630936
2273,3547,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.4352832061824529
2350,3670,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.4351624479263787
2418,3802,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.4329628274487538
2487,3933,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.4320609169267138
2554,4066,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.43178232916363984
2634,4186,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.43441208255838387
2704,4316,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.4326701809403766
2787,4433,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.4334569468784048
2866,4554,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.436233581486587
2936,4684,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.4379665770650134
3009,4811,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.4376376791880106
3084,4936,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.4383852046073112
3163,5057,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.4390220237975378
3232,5188,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.4394976007585584
3304,5316,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.4384451225748604
3371,5449,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.4379922849944713
3442,5578,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.43840749582539
3525,5695,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.43913243543042846
3592,5828,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.43900840918520617
3663,5957,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.43905929965769025
3731,6089,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.43947295510953105
