size intersection,size union,state,k,mean JI
4,16,filledlowerupper_,10,0.25
76,144,filledlowerupper_,110,0.5277777777777778
145,275,filledlowerupper_,210,0.5272727272727272
236,384,filledlowerupper_,310,0.6145833333333334
316,504,filledlowerupper_,410,0.626984126984127
397,623,filledlowerupper_,510,0.637239165329053
475,745,filledlowerupper_,610,0.6375838926174496
558,862,filledlowerupper_,710,0.6473317865429234
624,996,filledlowerupper_,810,0.6265060240963856
693,1127,filledlowerupper_,910,0.6149068322981367
775,1245,filledlowerupper_,1010,0.6224899598393574
856,1364,filledlowerupper_,1110,0.6275659824046921
935,1485,filledlowerupper_,1210,0.6296296296296297
1009,1611,filledlowerupper_,1310,0.6263190564866542
1083,1737,filledlowerupper_,1410,0.6234887737478411
1162,1858,filledlowerupper_,1510,0.6254036598493004
1240,1980,filledlowerupper_,1610,0.6262626262626263
1311,2109,filledlowerupper_,1710,0.6216216216216216
1387,2233,filledlowerupper_,1810,0.6211374832064487
1447,2373,filledlowerupper_,1910,0.6097766540244416
1528,2492,filledlowerupper_,2010,0.6131621187800963
1593,2627,filledlowerupper_,2110,0.6063951275218881
1671,2749,filledlowerupper_,2210,0.6078574026918879
1742,2878,filledlowerupper_,2310,0.6052814454482279
1814,3006,filledlowerupper_,2410,0.603459747172322
1881,3139,filledlowerupper_,2510,0.5992354252946799
1953,3267,filledlowerupper_,2610,0.5977961432506887
2016,3404,filledlowerupper_,2710,0.5922444183313749
2092,3528,filledlowerupper_,2810,0.5929705215419501
2167,3653,filledlowerupper_,2910,0.5932110594032303
2238,3782,filledlowerupper_,3010,0.5917503966155473
2304,3916,filledlowerupper_,3110,0.5883554647599591
2361,4059,filledlowerupper_,3210,0.581670362158167
2421,4199,filledlowerupper_,3310,0.5765658490116694
2497,4323,filledlowerupper_,3410,0.5776081424936387
2576,4444,filledlowerupper_,3510,0.5796579657965797
2645,4575,filledlowerupper_,3610,0.5781420765027322
2708,4712,filledlowerupper_,3710,0.5747028862478778
2781,4839,filledlowerupper_,3810,0.5747055176689398
2857,4963,filledlowerupper_,3910,0.5756598831352004
2923,5097,filledlowerupper_,4010,0.573474592897783
2995,5225,filledlowerupper_,4110,0.5732057416267943
3063,5357,filledlowerupper_,4210,0.571775247339929
3128,5492,filledlowerupper_,4310,0.5695557174071376
3209,5611,filledlowerupper_,4410,0.5719123150953485
3271,5749,filledlowerupper_,4510,0.568968516263698
3325,5895,filledlowerupper_,4610,0.5640373197625106
3393,6027,filledlowerupper_,4710,0.5629666500746641
3461,6159,filledlowerupper_,4810,0.5619418736807923
3528,6292,filledlowerupper_,4910,0.5607120152574698
