size intersection,size union,state,k,mean JI
2,18,filledfemalemale_,10,0.1111111111111111
57,163,filledfemalemale_,110,0.3496932515337423
122,298,filledfemalemale_,210,0.40939597315436244
184,436,filledfemalemale_,310,0.42201834862385323
247,573,filledfemalemale_,410,0.43106457242582896
331,689,filledfemalemale_,510,0.48040638606676345
402,818,filledfemalemale_,610,0.49144254278728605
473,947,filledfemalemale_,710,0.49947201689545934
549,1071,filledfemalemale_,810,0.5126050420168067
618,1202,filledfemalemale_,910,0.5141430948419301
695,1325,filledfemalemale_,1010,0.5245283018867924
775,1445,filledfemalemale_,1110,0.5363321799307958
842,1578,filledfemalemale_,1210,0.5335868187579215
909,1711,filledfemalemale_,1310,0.5312682641729982
989,1831,filledfemalemale_,1410,0.5401419989077008
1057,1963,filledfemalemale_,1510,0.5384615384615384
1124,2096,filledfemalemale_,1610,0.5362595419847328
1192,2228,filledfemalemale_,1710,0.5350089766606823
1256,2364,filledfemalemale_,1810,0.5313028764805414
1330,2490,filledfemalemale_,1910,0.5341365461847389
1403,2617,filledfemalemale_,2010,0.5361100496752006
1481,2739,filledfemalemale_,2110,0.5407082876962395
1554,2866,filledfemalemale_,2210,0.5422191207257502
1619,3001,filledfemalemale_,2310,0.5394868377207598
1697,3123,filledfemalemale_,2410,0.5433877681716298
1761,3259,filledfemalemale_,2510,0.5403498005523166
1831,3389,filledfemalemale_,2610,0.540277367955149
1902,3518,filledfemalemale_,2710,0.5406480955088119
1963,3657,filledfemalemale_,2810,0.5367787804211102
2026,3794,filledfemalemale_,2910,0.5340010542962572
2104,3916,filledfemalemale_,3010,0.5372829417773238
2163,4057,filledfemalemale_,3110,0.5331525757949224
2223,4197,filledfemalemale_,3210,0.5296640457469621
2292,4328,filledfemalemale_,3310,0.5295748613678374
2350,4470,filledfemalemale_,3410,0.5257270693512305
2410,4610,filledfemalemale_,3510,0.5227765726681128
2473,4747,filledfemalemale_,3610,0.5209606066989678
2547,4873,filledfemalemale_,3710,0.5226759696285656
2615,5005,filledfemalemale_,3810,0.5224775224775224
2676,5144,filledfemalemale_,3910,0.5202177293934681
2740,5280,filledfemalemale_,4010,0.5189393939393939
2800,5420,filledfemalemale_,4110,0.5166051660516605
2858,5562,filledfemalemale_,4210,0.513843941028407
2923,5697,filledfemalemale_,4310,0.5130770581007548
2990,5830,filledfemalemale_,4410,0.5128644939965694
3059,5961,filledfemalemale_,4510,0.5131689313873511
3125,6095,filledfemalemale_,4610,0.5127153404429861
3189,6231,filledfemalemale_,4710,0.5117958594126143
3255,6365,filledfemalemale_,4810,0.5113904163393559
3327,6493,filledfemalemale_,4910,0.5123979670414293
