size intersection,size union,state,k,mean JI
2,18,filledblack or african americanwhite_,10,0.1111111111111111
52,168,filledblack or african americanwhite_,110,0.30952380952380953
111,309,filledblack or african americanwhite_,210,0.3592233009708738
165,455,filledblack or african americanwhite_,310,0.3626373626373626
234,586,filledblack or african americanwhite_,410,0.3993174061433447
288,732,filledblack or african americanwhite_,510,0.39344262295081966
344,876,filledblack or african americanwhite_,610,0.3926940639269406
398,1022,filledblack or african americanwhite_,710,0.38943248532289626
457,1163,filledblack or african americanwhite_,810,0.3929492691315563
534,1286,filledblack or african americanwhite_,910,0.4152410575427683
602,1418,filledblack or african americanwhite_,1010,0.4245416078984485
668,1552,filledblack or african americanwhite_,1110,0.43041237113402064
720,1700,filledblack or african americanwhite_,1210,0.4235294117647059
771,1849,filledblack or african americanwhite_,1310,0.4169821525148729
828,1992,filledblack or african americanwhite_,1410,0.41566265060240964
881,2139,filledblack or african americanwhite_,1510,0.4118747078073866
942,2278,filledblack or african americanwhite_,1610,0.4135206321334504
997,2423,filledblack or african americanwhite_,1710,0.411473380107305
1074,2546,filledblack or african americanwhite_,1810,0.4218381775333857
1136,2684,filledblack or african americanwhite_,1910,0.4232488822652757
1196,2824,filledblack or african americanwhite_,2010,0.4235127478753541
1256,2964,filledblack or african americanwhite_,2110,0.42375168690958165
1314,3106,filledblack or african americanwhite_,2210,0.4230521571152608
1371,3249,filledblack or african americanwhite_,2310,0.42197599261311175
1430,3390,filledblack or african americanwhite_,2410,0.4218289085545723
1491,3529,filledblack or african americanwhite_,2510,0.4224992915840181
1561,3659,filledblack or african americanwhite_,2610,0.426619294889314
1612,3808,filledblack or african americanwhite_,2710,0.42331932773109243
1672,3948,filledblack or african americanwhite_,2810,0.42350557244174264
1731,4089,filledblack or african americanwhite_,2910,0.42333088774761557
1797,4223,filledblack or african americanwhite_,3010,0.4255268766279896
1852,4368,filledblack or african americanwhite_,3110,0.423992673992674
1908,4512,filledblack or african americanwhite_,3210,0.4228723404255319
1966,4654,filledblack or african americanwhite_,3310,0.4224323162870649
2018,4802,filledblack or african americanwhite_,3410,0.42024156601416074
2074,4946,filledblack or african americanwhite_,3510,0.419328750505459
2126,5094,filledblack or african americanwhite_,3610,0.41735374950922655
2181,5239,filledblack or african americanwhite_,3710,0.416300820767322
2230,5390,filledblack or african americanwhite_,3810,0.4137291280148423
2280,5540,filledblack or african americanwhite_,3910,0.41155234657039713
2335,5685,filledblack or african americanwhite_,4010,0.41072999120492526
2390,5830,filledblack or african americanwhite_,4110,0.4099485420240137
2441,5979,filledblack or african americanwhite_,4210,0.40826225121257737
2505,6115,filledblack or african americanwhite_,4310,0.40964840556009813
2559,6261,filledblack or african americanwhite_,4410,0.40872065165309057
2610,6410,filledblack or african americanwhite_,4510,0.40717628705148207
2657,6563,filledblack or african americanwhite_,4610,0.40484534511656256
2706,6714,filledblack or african americanwhite_,4710,0.40303842716711347
2753,6867,filledblack or african americanwhite_,4810,0.40090286879277703
2808,7012,filledblack or african americanwhite_,4910,0.4004563605248146
