size intersection,size union,state,k,mean JI
4,16,filledfemalemale_,10,0.25
58,162,filledfemalemale_,110,0.35802469135802467
127,293,filledfemalemale_,210,0.4334470989761092
206,414,filledfemalemale_,310,0.4975845410628019
277,543,filledfemalemale_,410,0.5101289134438306
345,675,filledfemalemale_,510,0.5111111111111111
416,804,filledfemalemale_,610,0.5174129353233831
485,935,filledfemalemale_,710,0.5187165775401069
558,1062,filledfemalemale_,810,0.5254237288135594
621,1199,filledfemalemale_,910,0.517931609674729
691,1329,filledfemalemale_,1010,0.5199398043641836
760,1460,filledfemalemale_,1110,0.5205479452054794
834,1586,filledfemalemale_,1210,0.5258511979823455
903,1717,filledfemalemale_,1310,0.5259172976121141
972,1848,filledfemalemale_,1410,0.525974025974026
1035,1985,filledfemalemale_,1510,0.5214105793450882
1105,2115,filledfemalemale_,1610,0.5224586288416075
1178,2242,filledfemalemale_,1710,0.5254237288135594
1238,2382,filledfemalemale_,1810,0.5197313182199832
1315,2505,filledfemalemale_,1910,0.5249500998003992
1381,2639,filledfemalemale_,2010,0.5233042819249716
1454,2766,filledfemalemale_,2110,0.5256688358640637
1526,2894,filledfemalemale_,2210,0.5272978576364893
1603,3017,filledfemalemale_,2310,0.531322505800464
1671,3149,filledfemalemale_,2410,0.5306446490949508
1753,3267,filledfemalemale_,2510,0.5365779002142639
1818,3402,filledfemalemale_,2610,0.5343915343915344
1895,3525,filledfemalemale_,2710,0.5375886524822695
1966,3654,filledfemalemale_,2810,0.5380405035577449
2039,3781,filledfemalemale_,2910,0.5392753239883629
2114,3906,filledfemalemale_,3010,0.5412186379928315
2180,4040,filledfemalemale_,3110,0.5396039603960396
2248,4172,filledfemalemale_,3210,0.538830297219559
2313,4307,filledfemalemale_,3310,0.5370327374042256
2385,4435,filledfemalemale_,3410,0.5377677564825254
2448,4572,filledfemalemale_,3510,0.5354330708661418
2523,4697,filledfemalemale_,3610,0.537151373216947
2592,4828,filledfemalemale_,3710,0.5368682684341343
2653,4967,filledfemalemale_,3810,0.5341252264948662
2729,5091,filledfemalemale_,3910,0.5360439992142998
2803,5217,filledfemalemale_,4010,0.5372819628138777
2855,5365,filledfemalemale_,4110,0.53215284249767
2922,5498,filledfemalemale_,4210,0.5314659876318661
3001,5619,filledfemalemale_,4310,0.5340807972948923
3065,5755,filledfemalemale_,4410,0.5325803649000869
3136,5884,filledfemalemale_,4510,0.5329707681849082
3203,6017,filledfemalemale_,4610,0.5323250789429949
3275,6145,filledfemalemale_,4710,0.532953620829943
3345,6275,filledfemalemale_,4810,0.5330677290836653
3418,6402,filledfemalemale_,4910,0.5338956576069979
