size intersection,size union,state,k,mean JI
1,19,filledlowerupper_,10,0.05263157894736842
26,194,filledlowerupper_,110,0.13402061855670103
58,362,filledlowerupper_,210,0.16022099447513813
89,531,filledlowerupper_,310,0.16760828625235405
133,687,filledlowerupper_,410,0.19359534206695778
192,828,filledlowerupper_,510,0.2318840579710145
231,989,filledlowerupper_,610,0.23356926188068755
267,1153,filledlowerupper_,710,0.23156981786643538
304,1316,filledlowerupper_,810,0.23100303951367782
357,1463,filledlowerupper_,910,0.24401913875598086
398,1622,filledlowerupper_,1010,0.24537607891491986
436,1784,filledlowerupper_,1110,0.24439461883408073
483,1937,filledlowerupper_,1210,0.24935467217346413
536,2084,filledlowerupper_,1310,0.2571976967370441
582,2238,filledlowerupper_,1410,0.26005361930294907
620,2400,filledlowerupper_,1510,0.25833333333333336
657,2563,filledlowerupper_,1610,0.25634022629730785
705,2715,filledlowerupper_,1710,0.2596685082872928
750,2870,filledlowerupper_,1810,0.2613240418118467
797,3023,filledlowerupper_,1910,0.2636453853787628
840,3180,filledlowerupper_,2010,0.2641509433962264
885,3335,filledlowerupper_,2110,0.2653673163418291
931,3489,filledlowerupper_,2210,0.2668386357122385
979,3641,filledlowerupper_,2310,0.2688821752265861
1033,3787,filledlowerupper_,2410,0.27277528386585687
1076,3944,filledlowerupper_,2510,0.27281947261663286
1132,4088,filledlowerupper_,2610,0.27690802348336596
1180,4240,filledlowerupper_,2710,0.2783018867924528
1231,4389,filledlowerupper_,2810,0.28047391205285943
1280,4540,filledlowerupper_,2910,0.28193832599118945
1327,4693,filledlowerupper_,3010,0.28276155976987
1383,4837,filledlowerupper_,3110,0.2859210254289849
1428,4992,filledlowerupper_,3210,0.2860576923076923
1484,5136,filledlowerupper_,3310,0.28894080996884736
1533,5287,filledlowerupper_,3410,0.2899564970682807
1572,5448,filledlowerupper_,3510,0.28854625550660795
1620,5600,filledlowerupper_,3610,0.2892857142857143
1667,5753,filledlowerupper_,3710,0.2897618633756301
1716,5904,filledlowerupper_,3810,0.29065040650406504
1756,6064,filledlowerupper_,3910,0.2895778364116095
1803,6217,filledlowerupper_,4010,0.2900112594498955
1850,6370,filledlowerupper_,4110,0.2904238618524333
1888,6532,filledlowerupper_,4210,0.28903857930189836
1926,6694,filledlowerupper_,4310,0.287720346579026
1965,6855,filledlowerupper_,4410,0.28665207877461707
2001,7019,filledlowerupper_,4510,0.2850833452058698
2052,7168,filledlowerupper_,4610,0.28627232142857145
2090,7330,filledlowerupper_,4710,0.28512960436562074
2136,7484,filledlowerupper_,4810,0.28540887226082307
2182,7638,filledlowerupper_,4910,0.2856768787640744
