size intersection,size union,state,k,mean JI
4,16,filledblack or african americanwhite_,10,0.25
48,172,filledblack or african americanwhite_,110,0.27906976744186046
100,320,filledblack or african americanwhite_,210,0.3125
161,459,filledblack or african americanwhite_,310,0.35076252723311546
212,608,filledblack or african americanwhite_,410,0.34868421052631576
267,753,filledblack or african americanwhite_,510,0.3545816733067729
315,905,filledblack or african americanwhite_,610,0.34806629834254144
368,1052,filledblack or african americanwhite_,710,0.34980988593155893
427,1193,filledblack or african americanwhite_,810,0.35792120704107294
474,1346,filledblack or african americanwhite_,910,0.3521545319465082
531,1489,filledblack or african americanwhite_,1010,0.35661517797179315
576,1644,filledblack or african americanwhite_,1110,0.35036496350364965
624,1796,filledblack or african americanwhite_,1210,0.34743875278396436
688,1932,filledblack or african americanwhite_,1310,0.35610766045548653
739,2081,filledblack or african americanwhite_,1410,0.3551177318596829
789,2231,filledblack or african americanwhite_,1510,0.3536530703720305
841,2379,filledblack or african americanwhite_,1610,0.35350987810004203
893,2527,filledblack or african americanwhite_,1710,0.3533834586466165
946,2674,filledblack or african americanwhite_,1810,0.3537771129394166
995,2825,filledblack or african americanwhite_,1910,0.35221238938053095
1048,2972,filledblack or african americanwhite_,2010,0.35262449528936746
1099,3121,filledblack or african americanwhite_,2110,0.35213072733098366
1151,3269,filledblack or african americanwhite_,2210,0.3520954420312022
1204,3416,filledblack or african americanwhite_,2310,0.3524590163934426
1260,3560,filledblack or african americanwhite_,2410,0.3539325842696629
1328,3692,filledblack or african americanwhite_,2510,0.35969664138678226
1380,3840,filledblack or african americanwhite_,2610,0.359375
1428,3992,filledblack or african americanwhite_,2710,0.35771543086172347
1485,4135,filledblack or african americanwhite_,2810,0.3591293833131802
1534,4286,filledblack or african americanwhite_,2910,0.3579094727018199
1598,4422,filledblack or african americanwhite_,3010,0.3613749434644957
1656,4564,filledblack or african americanwhite_,3110,0.3628396143733567
1727,4693,filledblack or african americanwhite_,3210,0.3679948860004262
1787,4833,filledblack or african americanwhite_,3310,0.36974963790606247
1839,4981,filledblack or african americanwhite_,3410,0.36920297129090546
1897,5123,filledblack or african americanwhite_,3510,0.370290845207886
1965,5255,filledblack or african americanwhite_,3610,0.37392959086584204
2019,5401,filledblack or african americanwhite_,3710,0.3738196630253657
2081,5539,filledblack or african americanwhite_,3810,0.3756995847625925
2145,5675,filledblack or african americanwhite_,3910,0.37797356828193834
2201,5819,filledblack or african americanwhite_,4010,0.37824368448186974
2253,5967,filledblack or african americanwhite_,4110,0.37757667169431874
2295,6125,filledblack or african americanwhite_,4210,0.3746938775510204
2344,6276,filledblack or african americanwhite_,4310,0.37348629700446145
2397,6423,filledblack or african americanwhite_,4410,0.373190098085007
2451,6569,filledblack or african americanwhite_,4510,0.37311615162125134
2501,6719,filledblack or african americanwhite_,4610,0.3722280101205537
2562,6858,filledblack or african americanwhite_,4710,0.37357830271216097
2615,7005,filledblack or african americanwhite_,4810,0.37330478229835834
2663,7157,filledblack or african americanwhite_,4910,0.3720832751152718
