size intersection,size union,state,k,mean JI
5,15,filledfemalemale_,10,0.3333333333333333
53,167,filledfemalemale_,110,0.31736526946107785
106,314,filledfemalemale_,210,0.3375796178343949
159,461,filledfemalemale_,310,0.34490238611713664
224,596,filledfemalemale_,410,0.37583892617449666
269,751,filledfemalemale_,510,0.3581890812250333
311,909,filledfemalemale_,610,0.34213421342134215
346,1074,filledfemalemale_,710,0.3221601489757914
412,1208,filledfemalemale_,810,0.34105960264900664
453,1367,filledfemalemale_,910,0.33138258961228967
498,1522,filledfemalemale_,1010,0.3272010512483574
536,1684,filledfemalemale_,1110,0.3182897862232779
579,1841,filledfemalemale_,1210,0.3145029875067898
627,1993,filledfemalemale_,1310,0.3146011038635223
679,2141,filledfemalemale_,1410,0.3171415226529659
722,2298,filledfemalemale_,1510,0.31418624891209745
766,2454,filledfemalemale_,1610,0.3121434392828036
810,2610,filledfemalemale_,1710,0.3103448275862069
855,2765,filledfemalemale_,1810,0.3092224231464738
899,2921,filledfemalemale_,1910,0.3077713111947963
942,3078,filledfemalemale_,2010,0.3060428849902534
983,3237,filledfemalemale_,2110,0.3036762434352796
1028,3392,filledfemalemale_,2210,0.30306603773584906
1065,3555,filledfemalemale_,2310,0.29957805907172996
1100,3720,filledfemalemale_,2410,0.2956989247311828
1149,3871,filledfemalemale_,2510,0.296822526478946
1196,4024,filledfemalemale_,2610,0.29721669980119286
1236,4184,filledfemalemale_,2710,0.2954110898661568
1280,4340,filledfemalemale_,2810,0.29493087557603687
1321,4499,filledfemalemale_,2910,0.29362080462324963
1365,4655,filledfemalemale_,3010,0.2932330827067669
1404,4816,filledfemalemale_,3110,0.2915282392026578
1441,4979,filledfemalemale_,3210,0.2894155452902189
1487,5133,filledfemalemale_,3310,0.28969413598285604
1520,5300,filledfemalemale_,3410,0.28679245283018867
1555,5465,filledfemalemale_,3510,0.2845379688929552
1600,5620,filledfemalemale_,3610,0.2846975088967972
1642,5778,filledfemalemale_,3710,0.28418137763932155
1681,5939,filledfemalemale_,3810,0.2830442835494191
1715,6105,filledfemalemale_,3910,0.2809172809172809
1747,6273,filledfemalemale_,4010,0.2784951378925554
1778,6442,filledfemalemale_,4110,0.276001241850357
1818,6602,filledfemalemale_,4210,0.27537109966676765
1849,6771,filledfemalemale_,4310,0.27307635504356814
1891,6929,filledfemalemale_,4410,0.27291095396161064
1922,7098,filledfemalemale_,4510,0.2707805015497323
1954,7266,filledfemalemale_,4610,0.2689237544728874
1997,7423,filledfemalemale_,4710,0.2690286945978715
2032,7588,filledfemalemale_,4810,0.26779124934106485
2067,7753,filledfemalemale_,4910,0.26660647491293693
